Id	RLxs	SLm_00150	SLm_00250	SLm_00350	SLm_00450	SLm_00570	SLm_00700	SLm_00840	SLm_01000	SLm_01170	SLm_01370	SLm_01600	SLm_01850	SLm_02150	SLm_02500	SLm_02900	SLm_03400	SLm_04000	SLm_04800	SLm_05800	SLm_07000	SLm_08500
C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
L01	-25,4057271975118	41,6042938560804	42,8341926936921	40,7436456987994	38,9300982270948	42,1118042389089	43,9327505657256	44,261602540203	41,6842160772958	41,2729162954549	38,9131682585714	35,9629928069479	36,2707267434276	33,2593210736895	28,3772260906726	25,3628712596533	19,7547127309422	18,4169395992503	9,89052606550691	7,27976381449509	9,76701084173633	3,75522403628023
L02	-24,3173791096707	44,6704638827527	45,1026278585675	42,5674764656948	47,6925144793586	42,2688340795336	43,4300948196504	39,899220501004	40,9223901024461	39,3729660386463	38,0192434927359	37,0072390071507	33,2653629589118	28,1604207751908	26,8924915879643	26,2954493874804	19,7698860040033	16,0099852232405	9,5684503055009	4,30085168117389	4,79888538497823	1,20880417384583
L03	-31,9070199738698	42,9271853137073	42,6015847237749	35,7387296906805	36,184698135391	29,3299552124032	29,6861564537595	27,3464553056919	27,8918667489886	27,263075714034	24,7662583502642	22,49792973463	21,0096950614016	16,9597396433845	14,969071475374	15,2602822712744	13,9701641894334	11,733202196742	5,68868708831373	0,13882173819999	-1,19494008267969	-4,11924399549257
L04	-27,3739967299122	43,3171083091568	45,9944567014698	46,7093777887047	41,705266276515	40,0101287726682	33,4936472370811	29,4185127740196	29,6885427476525	26,2930190585051	25,7113057961711	25,3372321854235	28,5953245411211	27,5753394323088	25,9048503317581	25,5913518055823	22,7346577768612	19,2732741316712	13,3208458073462	6,74260030047955	3,8609949049173	0,112965362791208
L05	-25,8264880634994	45,2053499597351	45,4026458528058	43,0442503012216	43,6043883877725	45,632983916511	38,8721793434603	39,8795269904813	34,8821572693261	34,4240832845844	32,3327775832158	31,2063200694471	33,624529301699	35,2043440722173	33,0446854715833	33,7976307651666	31,1226718461253	28,5542719452491	24,1396803915971	13,3435773342767	11,472643922527	12,055052889861
L06	-26,9340382065009	43,3283099808741	44,3485152307256	41,8190788682546	42,3049780331781	43,8435777624816	38,1348163769954	37,7099577047774	33,6967257415134	33,0706734822827	33,0373174665377	32,702414900834	32,4698307400036	30,3902151025938	31,061532276025	32,6079706446343	29,1064894933325	27,0514741056806	21,4711687677282	11,7159479960407	11,0926018238731	11,1903435131944
L07	-42,6307858172588	22,6368457874246	25,9775763707908	22,3936567773616	23,6263830755599	22,8384626815369	23,0490201738566	22,9624750043467	23,2501112314087	22,6779154152392	22,5348170211519	20,0181726753627	19,455730261484	20,2796054450652	19,9146681771158	17,9658618099972	15,4932690136275	15,9129881042697	10,5949431124011	9,56820548654325	6,29159371692084	4,57382135351768
L08	-28,0385010028784	41,9350115761629	42,8204665055728	43,2415832248704	39,7062931204749	39,7916300553255	39,0652769745209	38,4870563949775	34,4397311993752	33,8654332328423	33,1638039985689	34,3764866832647	33,9600897928883	29,7637118700899	30,3230756415764	28,8945136285946	24,6966953620764	20,2847390994827	16,6437199006606	8,51866521528759	6,7634549101274	2,76828029426199
L09	-23,7443427290097	41,9001270233616	43,9349783023575	40,6623259191266	41,6301251092518	44,9475935477164	43,1118536252506	42,2369898305442	43,6403152726804	41,9835584009451	40,9780292290991	40,0482052326664	37,9085136180181	37,3073216352048	34,4343608361515	32,3965411370745	25,676207941273	26,0874103435419	21,1031613621739	14,5954573671604	12,1028828955838	8,90618173176233
L10	-27,207485192946	41,0069689795575	46,9352949155869	44,369761902961	42,2195205549152	42,6231712071013	41,5284460508405	36,5228512014752	34,0631764725737	33,0493478393333	30,5173775575391	27,9431512472398	28,0226777823976	23,2229715816592	24,1427254792055	21,2715162030619	14,8613113846547	16,1521642150812	9,83838549450194	6,44477819610331	6,51416314846146	3,76910299850849
L11	-27,8712920148272	41,2289767677639	42,9511536388509	40,2868415741854	39,8447560278732	39,2073366857848	40,3985834793787	38,7947559363328	40,3139718057329	39,292032655484	35,8909243585792	32,9551793406319	29,5739600888364	25,3232645322635	22,4513208115884	21,5876443499376	16,0663421397643	13,6361409332776	7,9931866626866	5,34765993539353	4,26862232634817	-0,0541955249711705
L12	-29,2502512756375	46,8649031520008	40,3457293604793	40,2768610162882	40,2423550837232	40,5939437994187	33,6956670445048	32,7566118317226	28,6479454076991	27,6971504951695	25,4310571335179	23,8444779010439	24,4086957221202	24,7204030770216	25,6519865727744	25,087222207606	25,4334204381978	21,3597215397012	15,1786648201077	8,6504276432915	6,90511511582601	9,01474166911488
L13	-29,8542771097222	40,9246281720052	46,5983468430017	37,0203424241542	33,4678088848563	35,6165610689514	35,8657601843061	30,4353064178969	25,491566654031	23,0627460142526	21,0385916504716	17,6237736017223	18,4860350926185	14,2142262810487	15,8699088614286	11,5487311450965	11,7064506780713	11,8942114853179	8,67052652662754	6,88773060147946	4,6739097762348	3,25099702374236
L14	-31,9127813489264	43,2393300062569	39,3261370531218	38,6635130954433	37,5346851136193	33,3973347961654	29,8262102093133	28,6290956811802	27,4965092880813	25,4868795257947	24,4943568320466	23,4864234429611	21,4202603743798	19,0698647746818	18,2795650221419	15,0816848532457	8,83467699805271	7,73532429015816	0,72880044813596	-2,33797464515749	-3,56566136763609	-3,87352083514475
L15	-33,8353572186712	13,7513693867575	14,0371741546258	11,0354536280599	13,6496037017032	12,6086799086299	11,1732225753705	12,8765977464472	15,229958177167	20,7364063967728	18,612391978716	20,2259437364992	25,9265598850207	23,4595538738376	21,3693234319918	21,1756274452555	22,0763375316117	24,5826836223013	22,5128637390717	21,3479913903421	23,2348867473186	27,104516790556
L16	-32,2784508866765	40,7106212863209	39,6743658931671	38,4049629692046	34,4034121471069	35,6994501086565	33,1217545720119	28,6147404292976	25,7030841683894	22,7164558724257	20,8247424443792	21,2405983644645	18,3910803748153	13,5966036069183	16,6821463036372	14,4772136377458	10,8853777633195	10,1525722298622	5,8936136409061	2,43364809818318	1,58850762347941	-0,513781086814127
L17	-25,0893762804188	43,0249185367125	44,7769323239522	41,2219800471861	44,28697069885	43,9511026787801	43,2355835233702	40,4492784667624	38,7339165827319	39,8357217581679	38,7627167020414	37,7167263250866	32,1725685600019	31,3966045058818	28,9907120840284	26,6616381892151	20,6869481241084	17,2619009086207	11,9415352170271	6,46253312456225	4,87539115906987	1,3278237834781
L18	-34,4506532859883	41,2809397640664	36,4893087396382	33,8418145103199	33,4700142383935	28,3046158687272	28,7462658402691	25,3304128084187	23,3754518763949	23,5945511974513	21,4265395590295	19,242966775451	17,8926746800917	14,6409440962333	11,6016340463559	10,6150506203541	10,8829252045023	10,4002535016236	6,27865848946859	3,44123989989924	1,37774616221767	1,72289727504678
L19	-32,4345044713545	42,6610979130828	37,2597940367865	40,264908141154	33,300971512069	34,140203616539	31,7079055477324	27,5821764160199	28,8639513771106	27,6156379820872	25,5088309007526	26,080313464675	24,9509519511051	19,5667629432089	18,0462106938092	16,2769800027657	10,5285201460573	9,26087447467591	1,52759630837361	-2,84907142849561	-3,19663506286148	-7,31811575655151
L20	-27,3893680203373	40,549036828225	42,7772015877789	41,8547373628183	38,7514683808355	38,6047546699176	39,830845579353	39,6238851259881	39,194607048064	34,9591723949501	32,898556332944	33,4240967103447	34,5858699548389	32,8170641230883	29,6510233922682	28,3531472881621	23,8759515393484	19,1884600551603	15,4701400612062	10,0468594562279	8,77303088168875	4,27487287435245
L21	-36,4691666052985	26,0374570080124	22,8771931990536	19,3443695531924	15,6919872644782	15,887637540477	17,6945231391968	15,9267813957544	15,7221179365223	17,8606379732573	15,6622311930429	15,5294542178622	19,9761632799715	16,1373987433771	18,3285540303006	15,938664287044	18,6376839868326	18,9368647513626	17,9535694410743	18,9896985328774	17,3607059354743	24,4355810889718
L22	-40,8180591721693	26,6082756586768	24,0305845281507	19,5826176017482	21,2044652158209	18,3160166233196	19,362846232156	21,5062215680897	16,8586676857276	16,665389495484	14,5511902290748	13,2228636079117	16,1670040062377	15,8928734374548	16,2711065193598	18,100848120733	21,3063891892223	18,9231385213474	18,9029806135855	20,7965667313878	15,263962954069	13,975390881203
L23	-25,0134844866135	41,8531322384649	46,5459846456384	43,0985716245894	44,3742509683386	44,4798559966726	44,1822110884742	39,846159603573	39,5879339508436	39,8021932108746	37,5701743575068	34,6494848118734	32,7779679702447	25,9177726627231	28,3658908742633	24,3409950045832	20,9048813477417	19,6382437538282	14,6280242939282	10,4342445200639	11,33600190508	7,87658468273803
L24	-25,4462232732302	41,3911044199688	46,1558257423806	41,8671314763957	41,4511989980117	42,5849932740779	41,5032019897578	43,6767618119868	42,3805267499824	40,6217247479682	39,9604495123432	36,7387617934243	33,6841548305583	30,677256977528	27,7887550757865	22,3387437978327	18,4347254037239	15,2564131606244	11,4231907317365	9,24216791623444	10,0121763389924	4,37879257707298
