Id	Transcription
L28S01W01P02	oː
L28S01W01P03	∅
L28S02W01P01	f
L28S02W01P02	oː
L28S02W01P03	∅
L28S03W01P01	s
L28S03W01P02	oː
L28S03W01P03	∅
L29S01W01P01	h
L29S01W01P02	yː
L29S01W01P03	f
L29S02W01P01	h
L29S02W01P02	yː
L29S02W01P03	s
L29S03W01P01	h
L29S03W01P02	yː
L29S03W01P03	ʂ
