// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Spondees 23		Swedish Spondees 23	False
Phoneme	L02S09W00P06	L02S09W00	d	False
Sentence	L02S10	L02	Sentence10	False
Word	L02S10W00	L02S10	Landslag	False
Phoneme	L02S10W00P00	L02S10W00	l	False
Phoneme	L02S10W00P01	L02S10W00	a	False
Phoneme	L02S10W00P02	L02S10W00	nː	False
Phoneme	L02S10W00P03	L02S10W00	d	False
Phoneme	L02S10W00P04	L02S10W00	s	False
Phoneme	L02S10W00P05	L02S10W00	l	False
Phoneme	L02S10W00P06	L02S10W00	ɑː	False
Phoneme	L02S10W00P07	L02S10W00	ɡ	False
Sentence	L02S11	L02	Sentence11	False
Word	L02S11W00	L02S11	Upprörd	False
Phoneme	L02S11W00P00	L02S11W00	ɵ	False
Phoneme	L02S11W00P01	L02S11W00	pː	False
Phoneme	L02S11W00P02	L02S11W00	r	False
Phoneme	L02S11W00P03	L02S11W00	øː	False
Phoneme	L02S11W00P04	L02S11W00	ɖ	False
Sentence	L02S12	L02	Sentence12	False
Word	L02S12W00	L02S12	Spannmål	False
Phoneme	L02S12W00P00	L02S12W00	s	False
Phoneme	L02S12W00P01	L02S12W00	p	False
Phoneme	L02S12W00P02	L02S12W00	a	False
Phoneme	L02S12W00P03	L02S12W00	nː	False
Phoneme	L02S12W00P04	L02S12W00	m	False
Phoneme	L02S12W00P05	L02S12W00	oː	False
Phoneme	L02S12W00P06	L02S12W00	l	False
Sentence	L02S13	L02	Sentence13	False
Word	L02S13W00	L02S13	Brännboll	False
Phoneme	L02S13W00P00	L02S13W00	b	False
Phoneme	L02S13W00P01	L02S13W00	r	False
Phoneme	L02S13W00P02	L02S13W00	ɛ̝	False
Phoneme	L02S13W00P03	L02S13W00	mː	False
Phoneme	L02S13W00P04	L02S13W00	b	False
Phoneme	L02S13W00P05	L02S13W00	ɔ	False
Phoneme	L02S13W00P06	L02S13W00	lː	False
Sentence	L02S14	L02	Sentence14	False
Word	L02S14W00	L02S14	Lärdom	False
Phoneme	L02S14W00P00	L02S14W00	l	False
Phoneme	L02S14W00P01	L02S14W00	ɛː	False
Phoneme	L02S14W00P02	L02S14W00	ɖ	False
Phoneme	L02S14W00P03	L02S14W00	ʊ	False
Phoneme	L02S14W00P04	L02S14W00	mː	False
Sentence	L02S15	L02	Sentence15	False
Word	L02S15W00	L02S15	Smakråd	False
Phoneme	L02S15W00P00	L02S15W00	s	False
Phoneme	L02S15W00P01	L02S15W00	m	False
Phoneme	L02S15W00P02	L02S15W00	ɑː	False
Phoneme	L02S15W00P03	L02S15W00	k	False
Phoneme	L02S15W00P04	L02S15W00	r	False
Phoneme	L02S15W00P05	L02S15W00	oː	False
Phoneme	L02S15W00P06	L02S15W00	d	False
Sentence	L02S16	L02	Sentence16	False
Word	L02S16W00	L02S16	Upptåg	False
Phoneme	L02S16W00P00	L02S16W00	ɵ	False
Phoneme	L02S16W00P01	L02S16W00	pː	False
Phoneme	L02S16W00P02	L02S16W00	t	False
Phoneme	L02S16W00P03	L02S16W00	oː	False
Phoneme	L02S16W00P04	L02S16W00	ɡ	False
Sentence	L02S17	L02	Sentence17	False
Word	L02S17W00	L02S17	Klassrum	False
Phoneme	L02S17W00P00	L02S17W00	k	False
Phoneme	L02S17W00P01	L02S17W00	l	False
Phoneme	L02S17W00P02	L02S17W00	a	False
Phoneme	L02S17W00P03	L02S17W00	sː	False
Phoneme	L02S17W00P04	L02S17W00	r	False
Phoneme	L02S17W00P05	L02S17W00	ɵ	False
Phoneme	L02S17W00P06	L02S17W00	mː	False
Sentence	L02S18	L02	Sentence18	False
Word	L02S18W00	L02S18	Fritid	False
Phoneme	L02S18W00P00	L02S18W00	f	False
Phoneme	L02S18W00P01	L02S18W00	r	False
Phoneme	L02S18W00P02	L02S18W00	iː	False
Phoneme	L02S18W00P03	L02S18W00	t	False
Phoneme	L02S18W00P04	L02S18W00	iː	False
Phoneme	L02S18W00P05	L02S18W00	d	False
Sentence	L02S19	L02	Sentence19	False
Word	L02S19W00	L02S19	Delvis	False
Phoneme	L02S19W00P00	L02S19W00	d	False
Phoneme	L02S19W00P01	L02S19W00	eː	False
Phoneme	L02S19W00P02	L02S19W00	l	False
Phoneme	L02S19W00P03	L02S19W00	v	False
Phoneme	L02S19W00P04	L02S19W00	iː	False
Phoneme	L02S19W00P05	L02S19W00	s	False
Sentence	L02S20	L02	Sentence20	False
Word	L02S20W00	L02S20	Halvår	False
Phoneme	L02S20W00P00	L02S20W00	h	False
Phoneme	L02S20W00P01	L02S20W00	a	False
Phoneme	L02S20W00P02	L02S20W00	lː	False
Phoneme	L02S20W00P03	L02S20W00	v	False
Phoneme	L02S20W00P04	L02S20W00	oː	False
Phoneme	L02S20W00P05	L02S20W00	r	False
Sentence	L02S21	L02	Sentence21	False
Word	L02S21W00	L02S21	Dumhet	False
Phoneme	L02S21W00P00	L02S21W00	d	False
Phoneme	L02S21W00P01	L02S21W00	ɵ	False
Phoneme	L02S21W00P02	L02S21W00	mː	False
Phoneme	L02S21W00P03	L02S21W00	h	False
Phoneme	L02S21W00P04	L02S21W00	eː	False
Phoneme	L02S21W00P05	L02S21W00	t	False
Sentence	L02S22	L02	Sentence22	False
Word	L02S22W00	L02S22	Framgång	False
Phoneme	L02S22W00P00	L02S22W00	f	False
Phoneme	L02S22W00P01	L02S22W00	r	False
Phoneme	L02S22W00P02	L02S22W00	a	False
Phoneme	L02S22W00P03	L02S22W00	mː	False
Phoneme	L02S22W00P04	L02S22W00	ɡ	False
Phoneme	L02S22W00P05	L02S22W00	ɔ	False
Phoneme	L02S22W00P06	L02S22W00	ŋː	False
Sentence	L02S23	L02	Sentence23	False
Word	L02S23W00	L02S23	Badhus	False
Phoneme	L02S23W00P00	L02S23W00	b	False
Phoneme	L02S23W00P01	L02S23W00	ɑː	False
Phoneme	L02S23W00P02	L02S23W00	d	False
Phoneme	L02S23W00P03	L02S23W00	h	False
Phoneme	L02S23W00P04	L02S23W00	ʉː	False
Phoneme	L02S23W00P05	L02S23W00	s	False
Sentence	L02S24	L02	Sentence24	False
Word	L02S24W00	L02S24	Tunnbröd	False
Phoneme	L02S24W00P00	L02S24W00	t	False
Phoneme	L02S24W00P01	L02S24W00	ɵ	False
Phoneme	L02S24W00P02	L02S24W00	mː	False
Phoneme	L02S24W00P03	L02S24W00	b	False
Phoneme	L02S24W00P04	L02S24W00	r	False
Phoneme	L02S24W00P05	L02S24W00	øː	False
Phoneme	L02S24W00P06	L02S24W00	d	False

List	L03	Swedish Spondees 23	Lista 4	False
Sentence	L03S00	L03	Sentence00	False
Word	L03S00W00	L03S00	Delge	False
Phoneme	L03S00W00P00	L03S00W00	d	False
Phoneme	L03S00W00P01	L03S00W00	eː	False
Phoneme	L03S00W00P02	L03S00W00	l	False
Phoneme	L03S00W00P03	L03S00W00	ʝ	False
Phoneme	L03S00W00P04	L03S00W00	eː	False
Sentence	L03S01	L03	Sentence01	False
Word	L03S01W00	L03S01	Hjärtslag	False
Phoneme	L03S01W00P00	L03S01W00	ʝ	False
Phoneme	L03S01W00P01	L03S01W00	ɛ̝	False
Phoneme	L03S01W00P02	L03S01W00	ʈː	False
Phoneme	L03S01W00P03	L03S01W00	ʂ	False
Phoneme	L03S01W00P04	L03S01W00	ɭ	False
Phoneme	L03S01W00P05	L03S01W00	ɑː	False
Phoneme	L03S01W00P06	L03S01W00	ɡ	False
Sentence	L03S02	L03	Sentence02	False
Word	L03S02W00	L03S02	Villkor	False
Phoneme	L03S02W00P00	L03S02W00	v	False
Phoneme	L03S02W00P01	L03S02W00	ɪ	False
Phoneme	L03S02W00P02	L03S02W00	lː	False
Phoneme	L03S02W00P03	L03S02W00	k	False
Phoneme	L03S02W00P04	L03S02W00	oː	False
Phoneme	L03S02W00P05	L03S02W00	r	False
Sentence	L03S03	L03	Sentence03	False
Word	L03S03W00	L03S03	Utsatt	False
Phoneme	L03S03W00P00	L03S03W00	ʉː	False
Phoneme	L03S03W00P01	L03S03W00	t	False
Phoneme	L03S03W00P02	L03S03W00	s	False
Phoneme	L03S03W00P03	L03S03W00	a	False
Phoneme	L03S03W00P04	L03S03W00	tː	False
Sentence	L03S04	L03	Sentence04	False
Word	L03S04W00	L03S04	Årstid	False
Phoneme	L03S04W00P00	L03S04W00	oː	False
Phoneme	L03S04W00P01	L03S04W00	ʂ	False
Phoneme	L03S04W00P02	L03S04W00	ʈ	False
Phoneme	L03S04W00P03	L03S04W00	iː	False
Phoneme	L03S04W00P04	L03S04W00	d	False
Sentence	L03S05	L03	Sentence05	False
Word	L03S05W00	L03S05	Livrädd	False
Phoneme	L03S05W00P00	L03S05W00	l	False
Phoneme	L03S05W00P01	L03S05W00	iː	False
Phoneme	L03S05W00P02	L03S05W00	v	False
Phoneme	L03S05W00P03	L03S05W00	r	False
Phoneme	L03S05W00P04	L03S05W00	ɛ̝	False
Phoneme	L03S05W00P05	L03S05W00	dː	False
Sentence	L03S06	L03	Sentence06	False
Word	L03S06W00	L03S06	Kunskap	False
Phoneme	L03S06W00P00	L03S06W00	k	False
Phoneme	L03S06W00P01	L03S06W00	ɵ	False
Phoneme	L03S06W00P02	L03S06W00	nː	False
Phoneme	L03S06W00P03	L03S06W00	s	False
Phoneme	L03S06W00P04	L03S06W00	k	False
Phoneme	L03S06W00P05	L03S06W00	ɑː	False
Phoneme	L03S06W00P06	L03S06W00	p	False
Sentence	L03S07	L03	Sentence07	False
Word	L03S07W00	L03S07	Livslängd	False
Phoneme	L03S07W00P00	L03S07W00	l	False
Phoneme	L03S07W00P01	L03S07W00	ɪ	False
Phoneme	L03S07W00P02	L03S07W00	fː	False
Phoneme	L03S07W00P03	L03S07W00	s	False
Phoneme	L03S07W00P04	L03S07W00	l	False
Phoneme	L03S07W00P05	L03S07W00	ɛ̝	False
Phoneme	L03S07W00P06	L03S07W00	ŋː	False
Phoneme	L03S07W00P07	L03S07W00	d	False
Sentence	L03S08	L03	Sentence08	False
Word	L03S08W00	L03S08	Klockrent	False
Phoneme	L03S08W00P00	L03S08W00	k	False
Phoneme	L03S08W00P01	L03S08W00	l	False
Phoneme	L03S08W00P02	L03S08W00	ɔ	False
Phoneme	L03S08W00P03	L03S08W00	kː	False
Phoneme	L03S08W00P04	L03S08W00	r	False
Phoneme	L03S08W00P05	L03S08W00	eː	False
Phoneme	L03S08W00P06	L03S08W00	n	False
Phoneme	L03S08W00P07	L03S08W00	t	False
Sentence	L03S09	L03	Sentence09	False
Word	L03S09W00	L03S09	Noggrann	False
Phoneme	L03S09W00P00	L03S09W00	n	False
Phoneme	L03S09W00P01	L03S09W00	uː	False
Phoneme	L03S09W00P02	L03S09W00	ɡ	False
Phoneme	L03S09W00P03	L03S09W00	r	False
Phoneme	L03S09W00P04	L03S09W00	a	False
Phoneme	L03S09W00P05	L03S09W00	nː	False
Sentence	L03S10	L03	Sentence10	False
Word	L03S10W00	L03S10	Grundlag	False
Phoneme	L03S10W00P00	L03S10W00	ɡ	False
Phoneme	L03S10W00P01	L03S10W00	r	False
Phoneme	L03S10W00P02	L03S10W00	ɵ	False
Phoneme	L03S10W00P03	L03S10W00	nː	False
Phoneme	L03S10W00P04	L03S10W00	d	False
Phoneme	L03S10W00P05	L03S10W00	l	False
Phoneme	L03S10W00P06	L03S10W00	ɑː	False
Phoneme	L03S10W00P07	L03S10W00	ɡ	False
Sentence	L03S11	L03	Sentence11	False
Word	L03S11W00	L03S11	Läppstift	False
Phoneme	L03S11W00P00	L03S11W00	l	False
Phoneme	L03S11W00P01	L03S11W00	ɛ̝	False
Phoneme	L03S11W00P02	L03S11W00	pː	False
Phoneme	L03S11W00P03	L03S11W00	s	False
Phoneme	L03S11W00P04	L03S11W00	t	False
Phoneme	L03S11W00P05	L03S11W00	ɪ	False
Phoneme	L03S11W00P06	L03S11W00	fː	False
Phoneme	L03S11W00P07	L03S11W00	t	False
Sentence	L03S12	L03	Sentence12	False
Word	L03S12W00	L03S12	Flickvän	False
Phoneme	L03S12W00P00	L03S12W00	f	False
Phoneme	L03S12W00P01	L03S12W00	l	False
Phoneme	L03S12W00P02	L03S12W00	ɪ	False
Phoneme	L03S12W00P03	L03S12W00	kː	False
Phoneme	L03S12W00P04	L03S12W00	v	False
Phoneme	L03S12W00P05	L03S12W00	ɛ̝	False
Phoneme	L03S12W00P06	L03S12W00	nː	False
Sentence	L03S13	L03	Sentence13	False
Word	L03S13W00	L03S13	Maträtt	False
Phoneme	L03S13W00P00	L03S13W00	m	False
Phoneme	L03S13W00P01	L03S13W00	ɑː	False
Phoneme	L03S13W00P02	L03S13W00	t	False
Phoneme	L03S13W00P03	L03S13W00	r	False
Phoneme	L03S13W00P04	L03S13W00	ɛ̝	False
Phoneme	L03S13W00P05	L03S13W00	tː	False
Sentence	L03S14	L03	Sentence14	False
Word	L03S14W00	L03S14	Skönhet	False
Phoneme	L03S14W00P00	L03S14W00	ɧ	False
Phoneme	L03S14W00P01	L03S14W00	øː	False
Phoneme	L03S14W00P02	L03S14W00	n	False
Phoneme	L03S14W00P03	L03S14W00	h	False
Phoneme	L03S14W00P04	L03S14W00	eː	False
Phoneme	L03S14W00P05	L03S14W00	t	False
Sentence	L03S15	L03	Sentence15	False
Word	L03S15W00	L03S15	Tidskrift	False
Phoneme	L03S15W00P00	L03S15W00	t	False
Phoneme	L03S15W00P01	L03S15W00	iː	False
Phoneme	L03S15W00P02	L03S15W00	d	False
Phoneme	L03S15W00P03	L03S15W00	s	False
Phoneme	L03S15W00P04	L03S15W00	k	False
Phoneme	L03S15W00P05	L03S15W00	r	False
Phoneme	L03S15W00P06	L03S15W00	ɪ	False
Phoneme	L03S15W00P07	L03S15W00	fː	False
Phoneme	L03S15W00P08	L03S15W00	t	False
Sentence	L03S16	L03	Sentence16	False
Word	L03S16W00	L03S16	Avbröt	False
Phoneme	L03S16W00P00	L03S16W00	ɑː	False
Phoneme	L03S16W00P01	L03S16W00	v	False
Phoneme	L03S16W00P02	L03S16W00	b	False
Phoneme	L03S16W00P03	L03S16W00	r	False
Phoneme	L03S16W00P04	L03S16W00	øː	False
Phoneme	L03S16W00P05	L03S16W00	t	False
Sentence	L03S17	L03	Sentence17	False
Word	L03S17W00	L03S17	Kundvagn	False
Phoneme	L03S17W00P00	L03S17W00	k	False
Phoneme	L03S17W00P01	L03S17W00	ɵ	False
Phoneme	L03S17W00P02	L03S17W00	nː	False
Phoneme	L03S17W00P03	L03S17W00	d	False
Phoneme	L03S17W00P04	L03S17W00	v	False
Phoneme	L03S17W00P05	L03S17W00	a	False
Phoneme	L03S17W00P06	L03S17W00	ŋː	False
Phoneme	L03S17W00P07	L03S17W00	n	False
Sentence	L03S18	L03	Sentence18	False
Word	L03S18W00	L03S18	Avfall	False
Phoneme	L03S18W00P00	L03S18W00	ɑː	False
Phoneme	L03S18W00P01	L03S18W00	v	False
Phoneme	L03S18W00P02	L03S18W00	f	False
Phoneme	L03S18W00P03	L03S18W00	a	False
Phoneme	L03S18W00P04	L03S18W00	lː	False
Sentence	L03S19	L03	Sentence19	False
Word	L03S19W00	L03S19	Småkryp	False
Phoneme	L03S19W00P00	L03S19W00	s	False
Phoneme	L03S19W00P01	L03S19W00	m	False
Phoneme	L03S19W00P02	L03S19W00	oː	False
Phoneme	L03S19W00P03	L03S19W00	k	False
Phoneme	L03S19W00P04	L03S19W00	r	False
Phoneme	L03S19W00P05	L03S19W00	yː	False
Phoneme	L03S19W00P06	L03S19W00	p	False
Sentence	L03S20	L03	Sentence20	False
Word	L03S20W00	L03S20	Anställd	False
Phoneme	L03S20W00P00	L03S20W00	a	False
Phoneme	L03S20W00P01	L03S20W00	nː	False
Phoneme	L03S20W00P02	L03S20W00	s	False
Phoneme	L03S20W00P03	L03S20W00	t	False
Phoneme	L03S20W00P04	L03S20W00	ɛ̝	False
Phoneme	L03S20W00P05	L03S20W00	lː	False
Phoneme	L03S20W00P06	L03S20W00	d	False
Sentence	L03S21	L03	Sentence21	False
Word	L03S21W00	L03S21	Använt	False
Phoneme	L03S21W00P00	L03S21W00	a	False
Phoneme	L03S21W00P01	L03S21W00	ɱː	False
Phoneme	L03S21W00P02	L03S21W00	v	False
Phoneme	L03S21W00P03	L03S21W00	ɛ̝	False
Phoneme	L03S21W00P04	L03S21W00	nː	False
Phoneme	L03S21W00P05	L03S21W00	t	False
Sentence	L03S22	L03	Sentence22	False
Word	L03S22W00	L03S22	Hemlös	False
Phoneme	L03S22W00P00	L03S22W00	h	False
Phoneme	L03S22W00P01	L03S22W00	ɛ̝	False
Phoneme	L03S22W00P02	L03S22W00	mː	False
Phoneme	L03S22W00P03	L03S22W00	l	False
Phoneme	L03S22W00P04	L03S22W00	øː	False
Phoneme	L03S22W00P05	L03S22W00	s	False
Sentence	L03S23	L03	Sentence23	False
Word	L03S23W00	L03S23	Uppklädd	False
Phoneme	L03S23W00P00	L03S23W00	ɵ	False
Phoneme	L03S23W00P01	L03S23W00	pː	False
Phoneme	L03S23W00P02	L03S23W00	k	False
Phoneme	L03S23W00P03	L03S23W00	l	False
Phoneme	L03S23W00P04	L03S23W00	ɛ̝	False
Phoneme	L03S23W00P05	L03S23W00	dː	False
Sentence	L03S24	L03	Sentence24	False
Word	L03S24W00	L03S24	Tandsten	False
Phoneme	L03S24W00P00	L03S24W00	t	False
Phoneme	L03S24W00P01	L03S24W00	a	False
Phoneme	L03S24W00P02	L03S24W00	nː	False
Phoneme	L03S24W00P03	L03S24W00	d	False
Phoneme	L03S24W00P04	L03S24W00	s	False
Phoneme	L03S24W00P05	L03S24W00	t	False
Phoneme	L03S24W00P06	L03S24W00	eː	False
Phoneme	L03S24W00P07	L03S24W00	n	False

List	L04	Swedish Spondees 23	Lista 5	False
Sentence	L04S00	L04	Sentence00	False
Word	L04S00W00	L04S00	Massvis	False
Phoneme	L04S00W00P00	L04S00W00	m	False
Phoneme	L04S00W00P01	L04S00W00	a	False
Phoneme	L04S00W00P02	L04S00W00	sː	False
Phoneme	L04S00W00P03	L04S00W00	v	False
Phoneme	L04S00W00P04	L04S00W00	iː	False
Phoneme	L04S00W00P05	L04S00W00	s	False
Sentence	L04S01	L04	Sentence01	False
Word	L04S01W00	L04S01	Stadsdel	False
Phoneme	L04S01W00P00	L04S01W00	s	False
Phoneme	L04S01W00P01	L04S01W00	t	False
Phoneme	L04S01W00P02	L04S01W00	a	False
Phoneme	L04S01W00P03	L04S01W00	tː	False
Phoneme	L04S01W00P04	L04S01W00	s	False
Phoneme	L04S01W00P05	L04S01W00	d	False
Phoneme	L04S01W00P06	L04S01W00	eː	False
Phoneme	L04S01W00P07	L04S01W00	l	False
Sentence	L04S02	L04	Sentence02	False
Word	L04S02W00	L04S02	Sparsam	False
Phoneme	L04S02W00P00	L04S02W00	s	False
Phoneme	L04S02W00P01	L04S02W00	p	False
Phoneme	L04S02W00P02	L04S02W00	ɑː	False
Phoneme	L04S02W00P03	L04S02W00	ʂ	False
Phoneme	L04S02W00P04	L04S02W00	a	False
Phoneme	L04S02W00P05	L04S02W00	mː	False
Sentence	L04S03	L04	Sentence03	False
Word	L04S03W00	L04S03	Trötthet	False
Phoneme	L04S03W00P00	L04S03W00	t	False
Phoneme	L04S03W00P01	L04S03W00	r	False
Phoneme	L04S03W00P02	L04S03W00	ø̞	False
Phoneme	L04S03W00P03	L04S03W00	tː	False
Phoneme	L04S03W00P04	L04S03W00	h	False
Phoneme	L04S03W00P05	L04S03W00	eː	False
Phoneme	L04S03W00P06	L04S03W00	t	False
Sentence	L04S04	L04	Sentence04	False
Word	L04S04W00	L04S04	Rödlök	False
Phoneme	L04S04W00P00	L04S04W00	r	False
Phoneme	L04S04W00P01	L04S04W00	øː	False
Phoneme	L04S04W00P02	L04S04W00	d	False
Phoneme	L04S04W00P03	L04S04W00	l	False
Phoneme	L04S04W00P04	L04S04W00	øː	False
Phoneme	L04S04W00P05	L04S04W00	k	False
Sentence	L04S05	L04	Sentence05	False
Word	L04S05W00	L04S05	Visdom	False
Phoneme	L04S05W00P00	L04S05W00	v	False
Phoneme	L04S05W00P01	L04S05W00	iː	False
Phoneme	L04S05W00P02	L04S05W00	s	False
Phoneme	L04S05W00P03	L04S05W00	d	False
Phoneme	L04S05W00P04	L04S05W00	ʊ	False
Phoneme	L04S05W00P05	L04S05W00	mː	False
Sentence	L04S06	L04	Sentence06	False
Word	L04S06W00	L04S06	Regnskog	False
Phoneme	L04S06W00P00	L04S06W00	r	False
Phoneme	L04S06W00P01	L04S06W00	ɛ̝	False
Phoneme	L04S06W00P02	L04S06W00	ŋː	False
Phoneme	L04S06W00P03	L04S06W00	n	False
Phoneme	L04S06W00P04	L04S06W00	s	False
Phoneme	L04S06W00P05	L04S06W00	k	False
Phoneme	L04S06W00P06	L04S06W00	uː	False
Phoneme	L04S06W00P07	L04S06W00	ɡ	False
Sentence	L04S07	L04	Sentence07	False
Word	L04S07W00	L04S07	Vitlök	False
Phoneme	L04S07W00P00	L04S07W00	v	False
Phoneme	L04S07W00P01	L04S07W00	iː	False
Phoneme	L04S07W00P02	L04S07W00	t	False
Phoneme	L04S07W00P03	L04S07W00	l	False
Phoneme	L04S07W00P04	L04S07W00	øː	False
Phoneme	L04S07W00P05	L04S07W00	k	False
Sentence	L04S08	L04	Sentence08	False
Word	L04S08W00	L04S08	Storstad	False
Phoneme	L04S08W00P00	L04S08W00	s	False
Phoneme	L04S08W00P01	L04S08W00	t	False
Phoneme	L04S08W00P02	L04S08W00	uː	False
Phoneme	L04S08W00P03	L04S08W00	ʂ	False
Phoneme	L04S08W00P04	L04S08W00	ʈ	False
Phoneme	L04S08W00P05	L04S08W00	ɑː	False
Phoneme	L04S08W00P06	L04S08W00	d	False
Sentence	L04S09	L04	Sentence09	False
Word	L04S09W00	L04S09	Intryck	False
Phoneme	L04S09W00P00	L04S09W00	ɪ	False
Phoneme	L04S09W00P01	L04S09W00	nː	False
Phoneme	L04S09W00P02	L04S09W00	t	False
Phoneme	L04S09W00P03	L04S09W00	r	False
Phoneme	L04S09W00P04	L04S09W00	ʏ	False
Phoneme	L04S09W00P05	L04S09W00	kː	False
Sentence	L04S10	L04	Sentence10	False
Word	L04S10W00	L04S10	Lättläst	False
Phoneme	L04S10W00P00	L04S10W00	l	False
Phoneme	L04S10W00P01	L04S10W00	ɛ̝	False
Phoneme	L04S10W00P02	L04S10W00	tː	False
Phoneme	L04S10W00P03	L04S10W00	l	False
Phoneme	L04S10W00P04	L04S10W00	ɛː	False
Phoneme	L04S10W00P05	L04S10W00	s	False
Phoneme	L04S10W00P06	L04S10W00	t	False
Sentence	L04S11	L04	Sentence11	False
Word	L04S11W00	L04S11	Kokbok	False
Phoneme	L04S11W00P00	L04S11W00	k	False
Phoneme	L04S11W00P01	L04S11W00	uː	False
Phoneme	L04S11W00P02	L04S11W00	k	False
Phoneme	L04S11W00P03	L04S11W00	b	False
Phoneme	L04S11W00P04	L04S11W00	uː	False
Phoneme	L04S11W00P05	L04S11W00	k	False
Sentence	L04S12	L04	Sentence12	False
Word	L04S12W00	L04S12	Rundtur	False
Phoneme	L04S12W00P00	L04S12W00	r	False
Phoneme	L04S12W00P01	L04S12W00	ɵ	False
Phoneme	L04S12W00P02	L04S12W00	nː	False
Phoneme	L04S12W00P03	L04S12W00	d	False
Phoneme	L04S12W00P04	L04S12W00	t	False
Phoneme	L04S12W00P05	L04S12W00	ʉː	False
Phoneme	L04S12W00P06	L04S12W00	r	False
Sentence	L04S13	L04	Sentence13	False
Word	L04S13W00	L04S13	Bakverk	False
Phoneme	L04S13W00P00	L04S13W00	b	False
Phoneme	L04S13W00P01	L04S13W00	ɑː	False
Phoneme	L04S13W00P02	L04S13W00	k	False
Phoneme	L04S13W00P03	L04S13W00	v	False
Phoneme	L04S13W00P04	L04S13W00	ɛ̝	False
Phoneme	L04S13W00P05	L04S13W00	rː	False
Phoneme	L04S13W00P06	L04S13W00	k	False
Sentence	L04S14	L04	Sentence14	False
Word	L04S14W00	L04S14	Skrivbord	False
Phoneme	L04S14W00P00	L04S14W00	s	False
Phoneme	L04S14W00P01	L04S14W00	k	False
Phoneme	L04S14W00P02	L04S14W00	r	False
Phoneme	L04S14W00P03	L04S14W00	iː	False
Phoneme	L04S14W00P04	L04S14W00	v	False
Phoneme	L04S14W00P05	L04S14W00	b	False
Phoneme	L04S14W00P06	L04S14W00	uː	False
Phoneme	L04S14W00P07	L04S14W00	ɖ	False
Sentence	L04S15	L04	Sentence15	False
Word	L04S15W00	L04S15	Storhet	False
Phoneme	L04S15W00P00	L04S15W00	s	False
Phoneme	L04S15W00P01	L04S15W00	t	False
Phoneme	L04S15W00P02	L04S15W00	uː	False
Phoneme	L04S15W00P03	L04S15W00	r	False
Phoneme	L04S15W00P04	L04S15W00	h	False
Phoneme	L04S15W00P05	L04S15W00	eː	False
Phoneme	L04S15W00P06	L04S15W00	t	False
Sentence	L04S16	L04	Sentence16	False
Word	L04S16W00	L04S16	Motstånd	False
Phoneme	L04S16W00P00	L04S16W00	m	False
Phoneme	L04S16W00P01	L04S16W00	uː	False
Phoneme	L04S16W00P02	L04S16W00	t	False
Phoneme	L04S16W00P03	L04S16W00	s	False
Phoneme	L04S16W00P04	L04S16W00	t	False
Phoneme	L04S16W00P05	L04S16W00	ɔ	False
Phoneme	L04S16W00P06	L04S16W00	nː	False
Phoneme	L04S16W00P07	L04S16W00	d	False
Sentence	L04S17	L04	Sentence17	False
Word	L04S17W00	L04S17	Frihet	False
Phoneme	L04S17W00P00	L04S17W00	f	False
Phoneme	L04S17W00P01	L04S17W00	r	False
Phoneme	L04S17W00P02	L04S17W00	iː	False
Phoneme	L04S17W00P03	L04S17W00	h	False
Phoneme	L04S17W00P04	L04S17W00	eː	False
Phoneme	L04S17W00P05	L04S17W00	t	False
Sentence	L04S18	L04	Sentence18	False
Word	L04S18W00	L04S18	Badrum	False
Phoneme	L04S18W00P00	L04S18W00	b	False
Phoneme	L04S18W00P01	L04S18W00	ɑː	False
Phoneme	L04S18W00P02	L04S18W00	d	False
Phoneme	L04S18W00P03	L04S18W00	r	False
Phoneme	L04S18W00P04	L04S18W00	ɵ	False
Phoneme	L04S18W00P05	L04S18W00	mː	False
Sentence	L04S19	L04	Sentence19	False
Word	L04S19W00	L04S19	Framtid	False
Phoneme	L04S19W00P00	L04S19W00	f	False
Phoneme	L04S19W00P01	L04S19W00	r	False
Phoneme	L04S19W00P02	L04S19W00	a	False
Phoneme	L04S19W00P03	L04S19W00	mː	False
Phoneme	L04S19W00P04	L04S19W00	t	False
Phoneme	L04S19W00P05	L04S19W00	iː	False
Phoneme	L04S19W00P06	L04S19W00	d	False
Sentence	L04S20	L04	Sentence20	False
Word	L04S20W00	L04S20	Ljusblå	False
Phoneme	L04S20W00P00	L04S20W00	ʝ	False
Phoneme	L04S20W00P01	L04S20W00	ʉː	False
Phoneme	L04S20W00P02	L04S20W00	s	False
Phoneme	L04S20W00P03	L04S20W00	b	False
Phoneme	L04S20W00P04	L04S20W00	l	False
Phoneme	L04S20W00P05	L04S20W00	oː	False
Sentence	L04S21	L04	Sentence21	False
Word	L04S21W00	L04S21	Vykort	False
Phoneme	L04S21W00P00	L04S21W00	v	False
Phoneme	L04S21W00P01	L04S21W00	yː	False
Phoneme	L04S21W00P02	L04S21W00	k	False
Phoneme	L04S21W00P03	L04S21W00	ʊ	False
Phoneme	L04S21W00P04	L04S21W00	ʈː	False
Sentence	L04S22	L04	Sentence22	False
Word	L04S22W00	L04S22	Plånbok	False
Phoneme	L04S22W00P00	L04S22W00	p	False
