Name = Wierstorf 2011 - Unechoic - AKGK271 - 44.1kHz					
ImpulseResponseSubFolder = Data\wierstorf2011\44100Hz					
SampleRate = 44100				
					
<AvailableSourceLocations> 					
// AvailableSourceLocations are specified as: File [tab] Channel [tab] Ear [tab] Azimuth [tab] Elevation [tab] Distance [tab], with one location per row					
// Note that Channel is the channel number within the File in which the impulse response for the corresponding Azimuth, Elevation and Distance for ear Ear is stored. 					
// Ear should have the values either L or R, for left and right respectively					
					
//File	Channel	Ear	Azimuth	Elevation	Distance
QU_KEMAR_anechoic_AKGK271_0.5m.wav	74	L	36	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	75	R	37	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	76	L	37	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	77	R	38	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	78	L	38	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	79	R	39	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	80	L	39	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	81	R	40	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	82	L	40	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	83	R	41	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	84	L	41	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	85	R	42	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	86	L	42	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	87	R	43	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	88	L	43	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	89	R	44	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	90	L	44	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	91	R	45	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	92	L	45	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	93	R	46	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	94	L	46	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	95	R	47	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	96	L	47	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	97	R	48	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	98	L	48	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	99	R	49	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	100	L	49	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	101	R	50	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	102	L	50	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	103	R	51	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	104	L	51	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	105	R	52	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	106	L	52	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	107	R	53	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	108	L	53	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	109	R	54	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	110	L	54	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	111	R	55	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	112	L	55	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	113	R	56	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	114	L	56	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	115	R	57	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	116	L	57	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	117	R	58	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	118	L	58	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	119	R	59	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	120	L	59	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	121	R	60	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	122	L	60	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	123	R	61	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	124	L	61	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	125	R	62	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	126	L	62	0	0.5
