UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
lekt [ l ˈ eː k t ]	lekt	0,9896	0,9582	1	1	0,8015	0	8713	2776	l ˈ eː k t	CVCC	0,9159	0,7738	0,1705	0,0056	1,4757	0,888	0	0,104	0,075	3	False	4,2075	1	4	10	15
lem [ l ˈ ɛ̝ mː ]	lem	0,9678	0,9509	1	1	0,4555	0	206	147	l ˈ ɛ̝ mː	CVC	0,9392	0,8843	0,1198	0,0089	1,2365	2,6977	1	0,029	0,024	1	False	2,5832	1	3	27	32
lems [ l ˈ ɛ̝ mː s ]	lems	0,9758	0,9509	1	1	0,5916	0	1	1	l ˈ ɛ̝ mː s	CVCC	0,8961	0,7238	0,1919	0,011	1,7103	2,3546	1	0,011	0,011	1	False	0,5683	1	4	21	22
len [ l ˈ eː n ]	len	0,9861	0,9582	1	1	0,7353	0	2417	1319	l ˈ eː n	CVC	0,9648	0,9206	0,105	0,0072	1,0571	2,082	0	0,03	0,02	1	False	3,6507	1	3	32	52
lenn [ l ˈ ɛ̝ nː ]	lenn	0,939	0,8646	0,9641	0,8922	0,7032	0	9	6	l ˈ ɛ̝ nː	CVC	0,9681	0,9206	0,1295	0,0102	1,4622	3,2631	1	0,011	0,02		False	1,2672	1	3	31	23
lens [ l ˈ eː n s ]	lens	0,9896	0,9582	1	1	0,8015	0	448	177	l ˈ eː n s	CVCC	0,9304	0,7928	0,1771	0,0132	1,5757	3,2422	0	0,044	0,026	3	False	2,9195	1	4	25	47
lent [ l ˈ eː n t ]	lent	0,9896	0,9582	1	1	0,8015	0	1058	615	l ˈ eː n t	CVCC	0,9282	0,7817	0,1734	0,012	1,5269	2,8296	0	0,08	0,045	1	False	3,2921	1	4	11	22
lents [ l ˈ eː n t s ]	lents	0,9916	0,9582	1	1	0,8412	0	0	0	l ˈ eː n t s	CVCCC	0,8909	0,7041	0,239	0,016	1,7716	2,8724	0	0,027	0,012		False	0,2672	1	5	4	10
lenz [ l ˈ ɛ̝ nː s ]	lenz	0,9804	0,9525	0,9163	0,6652	0,5737	0	69	25	l ˈ ɛ̝ nː s	CVCC	0,9463	0,8593	0,2016	0,0176	1,8796	4,4703	1	0,048	0,071		False	2,1123	1	4	27	10
lepp [ l ˈ ɛ̝ pː ]	lepp	0,9527	0,9056	1	1	0,7032	0	28	19	l ˈ ɛ̝ pː	CVC	0,9054	0,767	0,1029	0,0043	0,8445	0,7745	1	0,045	0,068		False	1,7296	1	3	24	7
