UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
a [ ˈ ɑː ]	a	0,962	0,962	1	1	0,1977	0	304032	7411	ˈ ɑː	V	0,9016	0,8574	0,0129	0	-0,2581	0	0	0,024	0,021	2	True	5,7502	1	1	54	60
à [ ˈ a ]	à	1	1	0,4288	0,4288	1	0	3026	1003	ˈ a	V	0,851	0,7558	0,0372	0	0,6774	0	1	0,037	0,027	1	True	3,7483	1	1	25	29
aas [ ˈ oː s ]	aas	0,6826	0,3652	0,6968	0,3937	0,6043	0	59	29	ˈ oː s	VC	0,8603	0,7517	0,0137	0,0006	-0,4082	-0,1531	1	0,03	0,022		False	2,0454	1	2	29	34
ab- [ ˈ a bː ]	ab-	0,8336	0,6673	0,9055	0,811	0,5017	0	6	4	ˈ a bː	VC	0,8611	0,7343	0,0374	0,0001	0,0042	-0,3872	0	0,017	0,059		False	1,1123	1	2	20	8
ack [ ˈ a kː ]	ack	0,9846	0,9692	0,9846	0,9692	1	0	7129	2731	ˈ a kː	VC	0,9463	0,8928	0,0398	0,0012	0,0666	0,1075	0	0,036	0,059	1	False	4,1203	1	2	29	21
af [ ˈ ɑː f ]	af	0,981	0,962	1	1	0,5988	1	7691	968	ˈ ɑː f	VC	0,8235	0,613	0,016	0	-0,3891	-0,4267	0	0,089	0,032	1	False	4,1533	1	2	10	40
ag [ ˈ ɑː ɡ ]	ag	0,981	0,962	1	1	0,5988	0	3316	1213	ˈ ɑː ɡ	VC	0,9525	0,8574	0,016	0,0001	-0,391	-0,4026	0	0,048	0,021	2	False	3,788	1	2	17	49
agg [ ˈ a ɡː ]	agg	0,9206	0,8412	1	1	1	0	382	280	ˈ a ɡː	VC	0,8735	0,727	0,0377	0	0,0129	-0,4304	0	0,04	0,048	1	False	2,8504	1	2	21	23
aggs [ ˈ a ɡː s ]	aggs	0,9471	0,8412	1	1	1	0	0	0	ˈ a ɡː s	VCC	0,8349	0,6666	0,0913	0,0001	0,9482	-0,4058	0	0,009	0,014		False	0,2672	1	3	12	14
agn [ ˈ a ŋː n ]	agn	0,873	0,746	0,9178	0,8357	1	0	22	18	ˈ a ŋː n	VCC	0,8956	0,8082	0,0782	0,0014	0,6137	-0,0601	0	0,101	0,031	1	False	1,629	1	3	4	17
agns [ ˈ a ŋː n s ]	agns	0,9153	0,746	0,9452	0,8357	1	0	0	0	ˈ a ŋː n s	VCCC	0,8751	0,7928	0,1502	0,0074	1,2431	1,8142	0	0,047	0,01		False	0,2672	1	4	4	15
ags [ ˈ ɑː ɡ s ]	ags	0,9873	0,962	1	1	0,7326	1	42	24	ˈ ɑː ɡ s	VCC	0,902	0,7506	0,0695	0,0001	0,679	-0,4193	0	0,052	0,027	2	False	1,9007	1	3	10	25
ah [ ˈ a ]	ah	0,9059	0,8117	0,5	0	0,5162	0	7850	1824	ˈ a	V	0,851	0,7558	0,0372	0	0,6774	0	1	0,037	0,032	1	False	4,1622	1	1	25	32
ahl [ ˈ ɑː l ]	ahl	0,9246	0,8117	0,6667	0	0,41	0	485	160	ˈ ɑː l	VC	0,8963	0,8315	0,0586	0,0005	0,6953	-0,1974	1	0,039	0,073		False	2,9539	1	2	27	15
ahlm [ ˈ a lː m ]	ahlm	0,929	0,8117	0,7375	0	0,5462	0	42	21	ˈ a lː m	VCC	0,9218	0,7941	0,0646	0,0031	0,2915	0,4142	1	0,056	0,17		False	1,9007	1	3	17	5
ahlms [ ˈ a lː m s ]	ahlms	0,9432	0,8117	0,79	0	0,637	0	3	3	ˈ a lː m s	VCCC	0,8884	0,7549	0,1367	0,0035	1,0015	0,2524	1	0,069	0,142		False	0,8693	1	4	10	3
ahls [ ˈ ɑː l s ]	ahls	0,9434	0,8117	0,75	0	0,5575	0	17	16	ˈ ɑː l s	VCC	0,8651	0,7715	0,1122	0,0008	1,4032	-0,2138	1	0,064	0,07		False	1,5225	1	3	18	9
aids [ ˈ ɛ̝ ʝː d s ]	aids	0,8652	0,5957	0,8794	0,6382	0,854	0	1424	496	ˈ ɛ̝ ʝː d s	VCCC	0,8727	0,7407	0,1242	0,0037	1,0254	0,7356	0	0,477	0,113	1	False	3,4211	1	4	2	12
ain [ ˈ a ʝː n ]	ain	0,7968	0,5936	0,7968	0,5936	1	0	1849	699	ˈ a ʝː n	VCC	0,8707	0,732	0,0731	0,0002	0,5284	-0,3914	0	0,199	0,036		True	3,5344	1	3	5	28
air [ ˈ ɛː r ]	air	0,7738	0,5477	0,8021	0,6041	0,7794	0	6749	1970	ˈ ɛː r	VC	0,9696	0,9087	0,0841	0,0003	1,4171	-0,2903	1	0,063	0,073	2	True	4,0965	1	2	25	20
airs [ ˈ ɛː ʂ ]	airs	0,6768	0,5477	0,8021	0,6041	0,7794	0	58	49	ˈ ɛː ʂ	VC	0,8666	0,6984	0,003	0	-0,6514	-0,4397	0	0,034	0,111	2	True	2,0381	1	2	21	8
aiss [ ˈ a ʝː s ]	aiss	0,6722	0,5936	0,6722	0,5936	0,9914	0	0	0	ˈ a ʝː s	VCC	0,8696	0,7276	0,0912	0,0002	0,9468	-0,3999	0	0,006	0,006		False	0,2672	1	3	15	15
aj [ ˈ a ʝː ]	aj	0,9286	0,8573	1	1	0,6046	0	7701	2041	ˈ a ʝː	VC	0,9169	0,8046	0,0376	0,0001	0,0108	-0,3746	1	0,041	0,03	1	False	4,1538	1	2	26	35
akt [ ˈ a kː t ]	akt	0,9519	0,8558	0,9711	0,9134	0,6952	0	2629	1541	ˈ a kː t	VCC	0,9222	0,85	0,0854	0,002	0,7989	0,1957	0	0,074	0,057	4	False	3,6872	1	3	12	15
akts [ ˈ a kː t s ]	akts	0,9639	0,8558	0,9783	0,9134	0,7714	0	0	0	ˈ a kː t s	VCCC	0,8786	0,7041	0,1575	0,0047	1,3821	0,8668	0	0,011	0,012		False	0,2672	1	4	12	13
al [ ˈ ɑː l ]	al	0,981	0,962	1	1	0,5988	0	6534	1526	ˈ ɑː l	VC	0,8963	0,8315	0,0586	0,0005	0,6953	-0,1974	1	0,039	0,02	2	False	4,0825	1	2	27	56
alf [ ˈ a lː f ]	alf	0,968	0,9041	0,9834	0,9502	0,7175	0	1322	421	ˈ a lː f	VCC	0,8952	0,6877	0,0553	0,0026	0,0769	0,2202	0	0,086	0,052	1	False	3,3888	1	3	10	22
alfs [ ˈ a lː f s ]	alfs	0,976	0,9041	0,9875	0,9502	0,7881	0	27	15	ˈ a lː f s	VCCC	0,8765	0,6877	0,1274	0,003	0,8406	0,1107	0	0,079	0,051	1	False	1,7144	1	4	8	13
alg [ ˈ a lː ʝ ]	alg	0,9329	0,8947	0,9584	0,925	0,4414	0	59	42	ˈ a lː ʝ	VCC	0,9209	0,7906	0,0507	0,0035	-0,0309	0,5975	0	0,05	0,029	1	False	2,0454	1	3	11	23
algs [ ˈ a lː ʝ s ]	algs	0,9497	0,8947	0,9688	0,925	0,581	0	1	1	ˈ a lː ʝ s	VCCC	0,8979	0,7906	0,1228	0,0036	0,7597	0,2854	0	0,032	0,02	1	False	0,5683	1	4	8	13
all [ ˈ a lː ]	all	0,9758	0,9515	1	1	1	0	151067	8657	ˈ a lː	VC	0,96	0,9462	0,0441	0,0024	0,1744	0,6883	0	0,045	0,043	1	False	5,4464	1	2	33	37
alls [ ˈ a lː s ]	alls	0,9838	0,9515	1	1	1	0	157631	8376	ˈ a lː s	VCC	0,9337	0,8418	0,0976	0,0032	1,0559	0,4406	0	0,079	0,064	1	False	5,4649	1	3	24	31
allt [ ˈ a lː t ]	allt	0,9838	0,9515	1	1	1	0	706672	10002	ˈ a lː t	VCC	0,9478	0,8979	0,0896	0,0029	0,8707	0,3438	2	0,092	0,113	4	False	6,1165	1	3	20	14
allts [ ˈ a lː t s ]	allts	0,9879	0,9515	1	1	1	0	101	92	ˈ a lː t s	VCCC	0,899	0,7041	0,1617	0,0056	1,4359	0,9655	1	0,08	0,078	4	False	2,2758	1	4	13	8
alm [ ˈ a lː m ]	alm	0,968	0,9041	0,9834	0,9502	0,7175	0	646	219	ˈ a lː m	VCC	0,9218	0,7941	0,0646	0,0031	0,2915	0,4142	1	0,056	0,036	1	False	3,0781	1	3	17	29
alms [ ˈ a lː m s ]	alms	0,976	0,9041	0,9875	0,9502	0,7881	0	37	23	ˈ a lː m s	VCCC	0,8884	0,7549	0,1367	0,0035	1,0015	0,2524	1	0,069	0,036	1	False	1,847	1	4	10	20
aln [ ˈ ɑː l n ]	aln	0,9873	0,962	1	1	0,7326	0	6	6	ˈ ɑː l n	VCC	0,8265	0,6172	0,0941	0,0006	0,9847	-0,2767	0	0,139	0,016	1	False	1,1123	1	3	2	23
alns [ ˈ ɑː l n s ]	alns	0,9905	0,962	1	1	0,7994	0	0	0	ˈ ɑː l n s	VCCC	0,8198	0,6172	0,1662	0,0067	1,5214	1,6697	0	0,065	0,008		False	0,2672	1	4	2	17
alp [ ˈ a lː p ]	alp	0,968	0,9041	0,9834	0,9502	0,7175	0	29	23	ˈ a lː p	VCC	0,9078	0,7382	0,0589	0,0026	0,1589	0,1875	0	0,039	0,025	1	False	1,7444	1	3	13	25
alps [ ˈ a lː p s ]	alps	0,976	0,9041	0,9875	0,9502	0,7881	0	70	36	ˈ a lː p s	VCCC	0,8749	0,7382	0,131	0,0034	0,9021	0,2458	0	0,114	0,066	1	False	2,1185	1	4	8	14
als [ ˈ ɑː l s ]	als	0,9873	0,962	1	1	0,7326	0	285	66	ˈ ɑː l s	VCC	0,8651	0,7715	0,1122	0,0008	1,4032	-0,2138	1	0,064	0,024	3	False	2,7236	1	3	18	43
alt [ ˈ a lː t ]	alt	0,968	0,9041	0,9834	0,9502	0,7175	0	4167	901	ˈ a lː t	VCC	0,9478	0,8979	0,0896	0,0029	0,8707	0,3438	2	0,092	0,034	2	False	3,8872	1	3	20	37
alt- [ ˈ a lː t ]	alt-	0,968	0,9041	0,9834	0,9502	0,7175	0	6	5	ˈ a lː t	VCC	0,9478	0,8979	0,0896	0,0029	0,8707	0,3438	2	0,092	0,102	2	False	1,1123	1	3	20	4
alts [ ˈ a lː t s ]	alts	0,976	0,9041	0,9875	0,9502	0,7881	0	11	9	ˈ a lː t s	VCCC	0,899	0,7041	0,1617	0,0056	1,4359	0,9655	1	0,08	0,028	2	False	1,3464	1	4	13	24
alv [ ˈ a lː v ]	alv	0,968	0,9041	0,9834	0,9502	0,7175	0	106	67	ˈ a lː v	VCC	0,9363	0,8521	0,0679	0,0032	0,3675	0,4514	0	0,046	0,03	2	False	2,2966	1	3	13	24
alvs [ ˈ a lː v s ]	alvs	0,976	0,9041	0,9875	0,9502	0,7881	0	0	0	ˈ a lː v s	VCCC	0,9008	0,759	0,14	0,0041	1,0585	0,4658	0	0,013	0,006		False	0,2672	1	4	11	20
amp [ ˈ a mː p ]	amp	0,9836	0,9509	1	1	0,7523	0	13638	159	ˈ a mː p	VCC	0,8881	0,6915	0,0583	0,0014	0,1491	0,0085	0	0,135	0,07		False	4,402	1	3	11	23
ams [ ˈ a mː s ]	ams	0,9836	0,9509	1	1	0,7523	0	571	149	ˈ a mː s	VCC	0,8962	0,7238	0,0971	0,0016	1,0461	0,0937	0	0,07	0,032	1	False	3,0246	1	3	17	36
amt [ ˈ a mː t ]	amt	0,9836	0,9509	1	1	0,7523	0	28	17	ˈ a mː t	VCC	0,9126	0,7893	0,0891	0,0009	0,8609	-0,1987	0	0,058	0,027	1	False	1,7296	1	3	8	20
amts [ ˈ a mː t s ]	amts	0,9877	0,9509	1	1	0,8142	0	4	3	ˈ a mː t s	VCCC	0,8709	0,7041	0,1611	0,0035	1,4286	0,6039	0	0,09	0,047	1	False	0,9662	1	4	5	9
an [ ˈ a nː ]	an	0,9845	0,969	1	1	0,5926	0	36045	4691	ˈ a nː	VC	0,9821	0,9462	0,0551	0,0057	0,4548	2,2615	1	0,038	0,02	1	True	4,8241	1	2	31	60
and [ ˈ a nː d ]	and	0,9897	0,969	1	1	0,7284	0	338987	7065	ˈ a nː d	VCC	0,9586	0,8882	0,0968	0,0116	0,9699	3,4023	0	0,112	0,06		True	5,7974	1	3	13	29
ands [ ˈ a nː d s ]	ands	0,9923	0,969	1	1	0,7963	0	7	7	ˈ a nː d s	VCCC	0,915	0,7407	0,1689	0,015	1,5103	3,2405	0	0,044	0,018	2	False	1,1703	1	4	8	21
ann [ ˈ a nː ]	ann	0,9323	0,8646	0,9461	0,8922	1	0	5136	1331	ˈ a nː	VC	0,9821	0,9462	0,0551	0,0057	0,4548	2,2615	1	0,038	0,038	1	False	3,9779	1	2	31	34
anns [ ˈ a nː s ]	anns	0,9549	0,8646	0,9641	0,8922	1	0	76	64	ˈ a nː s	VCC	0,9514	0,8593	0,1086	0,0102	1,2428	2,7786	1	0,037	0,034	1	False	2,1537	1	3	20	23
ans [ ˈ a nː s ]	ans	0,9897	0,969	1	1	0,7284	0	129	101	ˈ a nː s	VCC	0,9514	0,8593	0,1086	0,0102	1,2428	2,7786	1	0,037	0,017	1	False	2,3812	1	3	20	45
ants [ ˈ a nː t s ]	ants	0,9923	0,969	1	1	0,7963	0	82	58	ˈ a nː t s	VCCC	0,8987	0,7041	0,1727	0,0102	1,5761	1,8592	0	0,081	0,044		False	2,1863	1	4	13	21
app [ ˈ a pː ]	app	0,9528	0,9056	1	1	1	0	9085	1957	ˈ a pː	VC	0,9188	0,828	0,0458	0,0001	0,2193	-0,4053	1	0,051	0,058	1	False	4,2256	1	2	26	23
apps [ ˈ a pː s ]	apps	0,9685	0,9056	1	1	1	0	1178	173	ˈ a pː s	VCC	0,9028	0,828	0,0994	0,0016	1,0858	0,2011	0	0,09	0,152	1	False	3,3388	1	3	15	12
ar [ ˈ ɑː r ]	ar	0,981	0,962	1	1	0,5988	0	14647	1792	ˈ ɑː r	VC	0,9416	0,8574	0,0956	0,0002	1,6384	-0,3382	0	0,03	0,016	2	False	4,433	1	2	32	67
arg [ ˈ a rː ʝ ]	arg	0,9127	0,8433	0,975	0,925	0,4166	0	28125	4997	ˈ a rː ʝ	VCC	0,9313	0,8734	0,0492	0,0039	-0,0566	0,5185	0	0,123	0,052	1	False	4,7163	1	3	13	30
args [ ˈ a rː ʝ s ]	args	0,9345	0,8433	0,9812	0,925	0,5624	0	2	1	ˈ a rː ʝ s	VCCC	0,9062	0,8056	0,1212	0,004	0,7404	0,2327	0	0,036	0,016	1	False	0,7444	1	4	9	22
argt [ ˈ a rː ʝ t ]	argt	0,9345	0,8433	0,9812	0,925	0,5624	0	1112	692	ˈ a rː ʝ t	VCCC	0,8942	0,7457	0,1176	0,0039	0,6917	0,2017	0	0,266	0,123	1	False	3,3137	1	4	4	10
argts [ ˈ a rː ʝ t s ]	argts	0,9476	0,8433	0,985	0,925	0,6499	0	0	0	ˈ a rː ʝ t s	VCCCC	0,8625	0,7041	0,1832	0,0079	1,1034	0,9015	0	0,062	0,018		False	0,2672	1	5	2	8
ark [ ˈ a rː k ]	ark	0,9478	0,8433	1	1	0,6926	0	2093	904	ˈ a rː k	VCC	0,9309	0,8734	0,0751	0,0046	0,5434	0,8161	0	0,076	0,041	2	False	3,5882	1	3	13	26
arks [ ˈ a rː k s ]	arks	0,9608	0,8433	1	1	0,7695	0	94	69	ˈ a rː k s	VCCC	0,8973	0,7626	0,1472	0,0074	1,1904	1,3165	0	0,092	0,056	2	False	2,245	1	4	11	18
arm [ ˈ a rː m ]	arm	0,9478	0,8433	1	1	0,6926	0	8175	3221	ˈ a rː m	VCC	0,9279	0,8734	0,0631	0,0044	0,2658	0,7356	0	0,07	0,038	3	False	4,1798	1	3	18	34
arms [ ˈ a rː m s ]	arms	0,9608	0,8433	1	1	0,7695	0	1748	765	ˈ a rː m s	VCCC	0,8933	0,7549	0,1352	0,0048	0,9822	0,4667	0	0,146	0,064	3	False	3,51	1	4	12	26
armt [ ˈ a rː m t ]	armt	0,9608	0,8433	1	1	0,7695	0	11	10	ˈ a rː m t	VCCC	0,9046	0,8114	0,1315	0,0047	0,9335	0,43	0	0,077	0,036	3	False	1,3464	1	4	4	12
armts [ ˈ a rː m t s ]	armts	0,9687	0,8433	1	1	0,8156	0	0	0	ˈ a rː m t s	VCCCC	0,8712	0,7041	0,1971	0,0087	1,2968	1,0727	0	0,052	0,017		False	0,2672	1	5	2	8
arn [ ˈ ɑː ɳ ]	arn	0,8898	0,8176	1	1	0,5988	0	478	224	ˈ ɑː ɳ	VC	0,8877	0,8058	0,0134	0,0001	-0,4566	-0,3932	0	0,048	0,031		False	2,9476	1	2	14	30
arndt [ ˈ ɑː ɳ ʈ ]	arndt	0,6357	0	0,7368	0	0,3034	0	22	12	ˈ ɑː ɳ ʈ	VCC	0,8525	0,7469	0,0192	0,0001	-0,4717	-0,4199	1	0,201	0,571	1	False	1,629	1	3	2	1
arnt [ ˈ ɑː ɳ ʈ ]	arnt	0,8476	0,7634	0,9824	0,9471	0,4045	0	8	3	ˈ ɑː ɳ ʈ	VCC	0,8525	0,7469	0,0192	0,0001	-0,4717	-0,4199	1	0,201	0,052		False	1,2215	1	3	2	9
arnts [ ˈ ɑː ɳ ʈ ʂ ]	arnts	0,8174	0,7267	0,9574	0,8824	0,3081	0	0	0	ˈ ɑː ɳ ʈ ʂ	VCCC	0,8227	0,7107	0,0287	0,0004	-0,405	-0,337	0	0,052	0,022		False	0,2672	1	4	2	6
arr [ ˈ a rː ]	arr	0,869	0,7379	0,9375	0,875	0,9807	0	341	151	ˈ a rː	VC	0,9018	0,8734	0,0425	0,0037	0,1358	1,2917	0	0,035	0,042	1	False	2,8013	1	2	20	19
arrs [ ˈ a rː s ]	arrs	0,9126	0,7379	0,9583	0,875	0,9871	0	0	0	ˈ a rː s	VCC	0,7843	0,3176	0,0961	0,0037	1,0302	0,4248	0	0,006	0,008		False	0,2672	1	3	15	15
ars [ ˈ ɑː ʂ ]	ars	0,8839	0,8059	1	1	0,5988	0	131	73	ˈ ɑː ʂ	VC	0,8509	0,7026	0,0144	0	-0,43	-0,4401	0	0,024	0,016		False	2,3878	1	2	30	52
art [ ˈ ɑː ʈ ]	art	0,8813	0,8006	1	1	0,5988	0	5926	1889	ˈ ɑː ʈ	VC	0,9015	0,8471	0,0141	0,0002	-0,439	-0,3294	0	0,046	0,031	1	False	4,0401	1	2	22	38
arts [ ˈ ɑː ʈ ʂ ]	arts	0,8298	0,7267	0,9608	0,8824	0,4056	0	645	299	ˈ ɑː ʈ ʂ	VCC	0,852	0,7107	0,0238	0,0003	-0,3675	-0,3842	0	0,163	0,061	1	False	3,0775	1	3	7	24
arv [ ˈ a rː v ]	arv	0,9478	0,8433	1	1	0,6926	0	2189	1000	ˈ a rː v	VCC	0,8991	0,7771	0,0664	0,0041	0,3418	0,6168	0	0,086	0,045	1	False	3,6077	1	3	16	28
arvs [ ˈ a rː v s ]	arvs	0,9608	0,8433	1	1	0,7695	0	9	9	ˈ a rː v s	VCCC	0,8711	0,759	0,1385	0,0051	1,0392	0,576	0	0,082	0,042	3	False	1,2672	1	4	6	13
as [ ˈ ɑː s ]	as	0,981	0,962	1	1	0,5988	0	56623	4328	ˈ ɑː s	VC	0,8639	0,7343	0,0204	0,0002	-0,2785	-0,3681	0	0,047	0,024		True	5,0202	1	2	28	57
asch [ ˈ a ʂː ]	asch	0,8264	0,6527	0,9245	0,8489	0,7354	0	154	86	ˈ a ʂː	VC	0,8557	0,7095	0,0373	0,0001	0,0024	-0,42	0	0,029	0,126	1	False	2,4576	1	2	21	6
ask [ ˈ a sː k ]	ask	0,9586	0,8758	1	1	0,6874	0	7594	2559	ˈ a sː k	VCC	0,8996	0,7754	0,0723	0,0012	0,4964	-0,0647	0	0,105	0,049	2	False	4,1478	1	3	14	29
asks [ ˈ a sː k s ]	asks	0,969	0,8758	1	1	0,7655	0	351	184	ˈ a sː k s	VCCC	0,8722	0,7626	0,1444	0,004	1,1552	0,7293	0	0,164	0,098	2	False	2,8138	1	4	7	12
asp [ ˈ a sː p ]	asp	0,9586	0,8758	1	1	0,6874	0	670	174	ˈ a sː p	VCC	0,8526	0,5875	0,0546	0,0008	0,0862	-0,2204	1	0,135	0,056	2	False	3,094	1	3	7	22
asph [ ˈ a sː p ]	asph	0,9219	0,8117	0,75	0	0,5236	0	3	3	ˈ a sː p	VCC	0,8526	0,5875	0,0546	0,0008	0,0862	-0,2204	1	0,135	0,076		False	0,8693	1	3	7	5
asps [ ˈ a sː p s ]	asps	0,969	0,8758	1	1	0,7655	0	17	14	ˈ a sː p s	VCCC	0,8308	0,5875	0,1267	0,0016	0,8475	-0,0261	0	0,159	0,066	2	False	1,5225	1	4	3	9
ass [ ˈ a sː ]	ass	0,9146	0,8293	0,9734	0,9468	1	0	4998	1632	ˈ a sː	VC	0,9198	0,8769	0,0398	0,0007	0,0653	-0,1309	0	0,037	0,039	6	False	3,9661	1	2	28	34
att [ ˈ a tː ]	att	0,9589	0,9177	1	1	1	0	10956160	10798	ˈ a tː	VC	0,9807	0,9462	0,0386	0,0002	0,0349	-0,362	0	0,072	0,084	1	False	7,3069	1	2	25	23
aud [ ˈ a͡uː d ]	aud	0,8027	0,6053	1	1	0,7403	0	36	17	ˈ a͡uː d	VC	0,6765	0,4951	0,0056	0	-0,5757	-0,4297	0	0,095	0,039		False	1,8354	1	2	7	15
av [ ˈ ɑː v ]	av	0,981	0,962	1	1	0,5988	0	3096622	10616	ˈ ɑː v	VC	0,9229	0,8574	0,045	0,0105	0,3502	4,5256	0	0,105	0,044	4	False	6,7581	1	2	16	43
ax [ ˈ a kː s ]	ax	1	1	0,9286	0,8571	1	0	200	125	ˈ a kː s	VCC	0,9387	0,8928	0,0934	0,0024	0,9841	0,3378	0	0,039	0,021	3	False	2,5704	1	3	19	31
ay [ ˈ a ʝː ]	ay	0,8534	0,7069	0,88	0,76	0,503	0	177	74	ˈ a ʝː	VC	0,9169	0,8046	0,0376	0,0001	0,0108	-0,3746	1	0,041	0,016		True	2,5177	1	2	26	38
b [ b ˈ eː ]	b	0,5	0	0,5	0	0,5	0	12378	1954	b ˈ eː	CV	0,8979	0,8308	0,1019	0,0012	1,4274	0,1128	1	0,041	0,021	2	False	4,3599	1	2	32	53
baal [ b ˈ ɑː l ]	baal	0,8443	0,533	0,8513	0,554	1	0	32	19	b ˈ ɑː l	CVC	0,9349	0,8315	0,1542	0,009	1,8377	2,4021	1	0,038	0,097		False	1,7858	1	3	26	7
baals [ b ˈ ɑː l s ]	baals	0,8832	0,533	0,8885	0,554	1	0	4	3	b ˈ ɑː l s	CVCC	0,9022	0,7715	0,2263	0,0121	2,1612	2,4609	1	0,032	0,213		False	0,9662	1	4	18	3
baard [ b ˈ ɑː ɖ ]	baard	0,7755	0,533	0,8513	0,554	1	0	4	4	b ˈ ɑː ɖ	CVC	0,8891	0,7159	0,1169	0,0061	0,9726	1,143	2	0,055	0,103		False	0,9662	1	3	15	3
baatz [ b ˈ a tː s ]	baatz	0,7901	0,4099	0,7232	0,4099	0,5455	0	0	0	b ˈ a tː s	CVCC	0,9134	0,7808	0,2596	0,0146	2,4426	3,0533	0	0,006	0,235		False	0,2672	1	4	18	1
baaz [ b ˈ ɑː s ]	baaz	0,8443	0,533	0,7397	0,554	1	0	3	3	b ˈ ɑː s	CVC	0,9106	0,7343	0,1596	0,0074	1,9614	1,6934	1	0,038	0,195		False	0,8693	1	3	33	2
babs [ b ˈ a bː s ]	babs	0,9168	0,6673	0,9528	0,811	0,7508	0	446	76	b ˈ a bː s	CVCC	0,8394	0,672	0,2453	0,0072	2,1947	0,7665	0	0,151	0,062		False	2,9175	1	4	7	16
bach [ b ˈ a ɧː ]	bach	0,812	0,4361	0,9865	0,9595	0,6696	0	410	161	b ˈ a ɧː	CVC	0,7466	0,4488	0,1706	0,0066	1,8199	1,1217	0	0,075	0,143	1	False	2,8811	1	3	14	7
bachs [ b ˈ a ɧː s ]	bachs	0,859	0,4361	0,9899	0,9595	0,7522	0	40	25	b ˈ a ɧː s	CVCC	0,6479	0	0,2426	0,0066	2,1478	0,7478	0	0,104	0,181	1	False	1,88	1	4	6	3
back [ b ˈ a kː ]	back	0,9897	0,9692	0,9897	0,9692	1	0	27782	4725	b ˈ a kː	CVC	0,9208	0,8568	0,1934	0,0128	2,348	3,7235	0	0,047	0,05	4	True	4,711	1	3	30	27
backs [ b ˈ a kː s ]	backs	0,9923	0,9692	0,9923	0,9692	1	0	237	144	b ˈ a kː s	CVCC	0,9198	0,8568	0,2654	0,0204	2,5439	4,8575	0	0,035	0,049	4	False	2,6438	1	4	25	25
bad [ b ˈ ɑː d ]	bad	0,9873	0,962	1	1	0,7326	0	46340	6657	b ˈ ɑː d	CVC	0,944	0,868	0,1478	0,0078	1,6885	1,8632	1	0,063	0,053	5	False	4,9332	1	3	20	27
badd [ b ˈ a dː ]	badd	0,92	0,7601	0,9791	0,9374	1	0	1	1	b ˈ a dː	CVC	0,9169	0,8568	0,174	0,0072	1,9005	1,3685	0	0,011	0,014		False	0,5683	1	3	17	15
badds [ b ˈ a dː s ]	badds	0,94	0,7601	0,9843	0,9374	1	0	0	0	b ˈ a dː s	CVCC	0,8726	0,6767	0,2461	0,0078	2,2082	0,9534	0	0,014	0,015		False	0,2672	1	4	9	9
badh [ b ˈ ɑː d ]	badh	0,9434	0,8117	0,75	0	0,5575	0	13	9	b ˈ ɑː d	CVC	0,944	0,868	0,1478	0,0078	1,6885	1,8632	1	0,063	0,057		False	1,4134	1	3	20	9
bads [ b ˈ ɑː d s ]	bads	0,9905	0,962	1	1	0,7994	0	22	21	b ˈ ɑː d s	CVCC	0,9034	0,7407	0,2199	0,0111	2,0492	2,2145	0	0,051	0,026	3	False	1,629	1	4	13	24
baer [ b ˈ ɛː r ]	baer	0,7877	0,363	0,8001	0,4004	0,8588	0	43	15	b ˈ ɛː r	CVC	0,9374	0,8161	0,1595	0,004	2,0231	1,0421	1	0,044	0,039		False	1,9107	1	3	25	18
bag [ b ˈ ɛː ɡ ]	bag	0,8642	0,5925	0,8845	0,6536	0,6668	0	9623	1561	b ˈ ɛː ɡ	CVC	0,8883	0,8034	0,1183	0,0025	1,0685	0,4458	1	0,104	0,041	1	False	4,2506	1	3	11	28
bagg [ b ˈ ɛː ɡ ]	bagg	0,7335	0,5925	0,7539	0,608	0,3698	1	4	4	b ˈ ɛː ɡ	CVC	0,8883	0,8034	0,1183	0,0025	1,0685	0,4458	1	0,104	0,022	1	False	0,9662	1	3	11	16
bagg [ b ˈ a ɡː ]	bagg	0,9471	0,8412	1	1	1	1	4	4	b ˈ a ɡː	CVC	0,8662	0,727	0,1755	0,0075	1,9351	1,4993	0	0,014	0,022	1	False	0,9662	1	3	24	16
bags [ b ˈ ɛː ɡ s ]	bags	0,8981	0,5925	0,9134	0,6536	0,7501	0	1514	503	b ˈ ɛː ɡ s	CVCC	0,8608	0,7506	0,1903	0,004	1,5843	0,6438	0	0,184	0,052	1	False	3,4477	1	4	7	25
bah [ b ˈ a ]	bah	0,9372	0,8117	0,6667	0	0,6775	0	2307	588	b ˈ a	CV	0,8488	0,7558	0,1703	0,0066	3,1721	2,6564	0	0,043	0,072	1	False	3,6305	1	2	24	13
