// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Matrix Test (Hagerman)		Swedish Matrix Test (Hagerman)	False
Phoneme	L00S08W00P02	L00S08W00	sː	False
Phoneme	L00S08W00P03	L00S08W00	e̞	False
Word	L00S08W01	L00S08	har	False
Phoneme	L00S08W01P00	L00S08W01	har	False
Word	L00S08W02	L00S08	tolv	False
Phoneme	L00S08W02P00	L00S08W02	tolv	False
Word	L00S08W03	L00S08	lätta	False
Phoneme	L00S08W03P00	L00S08W03	lätta	False
Word	L00S08W04	L00S08	ringar	False
Phoneme	L00S08W04P00	L00S08W04	ringar	False
Sentence	L00S09	L00	Sentence09	False
Word	L00S09W00	L00S09	Gustav	False
Phoneme	L00S09W00P00	L00S09W00	ɡ	False
Phoneme	L00S09W00P01	L00S09W00	ɵ	False
Phoneme	L00S09W00P02	L00S09W00	sː	False
Phoneme	L00S09W00P03	L00S09W00	t	False
Phoneme	L00S09W00P04	L00S09W00	ɑ	False
Phoneme	L00S09W00P05	L00S09W00	v	False
Word	L00S09W01	L00S09	tog	False
Phoneme	L00S09W01P00	L00S09W01	tog	False
Word	L00S09W02	L00S09	arton	False
Phoneme	L00S09W02P00	L00S09W02	arton	False
Word	L00S09W03	L00S09	svarta	False
Phoneme	L00S09W03P00	L00S09W03	svarta	False
Word	L00S09W04	L00S09	lådor	False
Phoneme	L00S09W04P00	L00S09W04	lådor	False

List	L01	Swedish Matrix Test (Hagerman)	Lista 1	False
Sentence	L01S00	L01	Sentence00	False
Word	L01S00W00	L01S00	Britta	False
Phoneme	L01S00W00P00	L01S00W00	b	False
Phoneme	L01S00W00P01	L01S00W00	r	False
Phoneme	L01S00W00P02	L01S00W00	ɪ	False
Phoneme	L01S00W00P03	L01S00W00	tː	False
Phoneme	L01S00W00P04	L01S00W00	a	False
Word	L01S00W01	L01S00	tog	False
Phoneme	L01S00W01P00	L01S00W01	tog	False
Word	L01S00W02	L01S00	åtta	False
Phoneme	L01S00W02P00	L01S00W02	åtta	False
Word	L01S00W03	L01S00	hela	False
Phoneme	L01S00W03P00	L01S00W03	hela	False
Word	L01S00W04	L01S00	vantar	False
Phoneme	L01S00W04P00	L01S00W04	vantar	False
Sentence	L01S01	L01	Sentence01	False
Word	L01S01W00	L01S01	Karin	False
Phoneme	L01S01W00P00	L01S01W00	k	False
Phoneme	L01S01W00P01	L01S01W00	ɑː	False
Phoneme	L01S01W00P02	L01S01W00	r	False
Phoneme	L01S01W00P03	L01S01W00	ɪ	False
Phoneme	L01S01W00P04	L01S01W00	n	False
Word	L01S01W01	L01S01	har	False
Phoneme	L01S01W01P00	L01S01W01	har	False
Word	L01S01W02	L01S01	fyra	False
Phoneme	L01S01W02P00	L01S01W02	fyra	False
Word	L01S01W03	L01S01	nya	False
Phoneme	L01S01W03P00	L01S01W03	nya	False
Word	L01S01W04	L01S01	ringar	False
Phoneme	L01S01W04P00	L01S01W04	ringar	False
Sentence	L01S02	L01	Sentence02	False
Word	L01S02W00	L01S02	Märta	False
Phoneme	L01S02W00P00	L01S02W00	m	False
Phoneme	L01S02W00P01	L01S02W00	ɛ̝	False
Phoneme	L01S02W00P02	L01S02W00	ʈː	False
Phoneme	L01S02W00P03	L01S02W00	a	False
Word	L01S02W01	L01S02	visar	False
Phoneme	L01S02W01P00	L01S02W01	visar	False
Word	L01S02W02	L01S02	nio	False
Phoneme	L01S02W02P00	L01S02W02	nio	False
Word	L01S02W03	L01S02	mörka	False
Phoneme	L01S02W03P00	L01S02W03	mörka	False
Word	L01S02W04	L01S02	dukar	False
Phoneme	L01S02W04P00	L01S02W04	dukar	False
Sentence	L01S03	L01	Sentence03	False
Word	L01S03W00	L01S03	Bosse	False
Phoneme	L01S03W00P00	L01S03W00	b	False
Phoneme	L01S03W00P01	L01S03W00	ʊ	False
Phoneme	L01S03W00P02	L01S03W00	sː	False
Phoneme	L01S03W00P03	L01S03W00	e̞	False
Word	L01S03W01	L01S03	köpte	False
Phoneme	L01S03W01P00	L01S03W01	köpte	False
Word	L01S03W02	L01S03	sju	False
Phoneme	L01S03W02P00	L01S03W02	sju	False
Word	L01S03W03	L01S03	vackra	False
Phoneme	L01S03W03P00	L01S03W03	vackra	False
Word	L01S03W04	L01S03	bollar	False
Phoneme	L01S03W04P00	L01S03W04	bollar	False
Sentence	L01S04	L01	Sentence04	False
Word	L01S04W00	L01S04	Anna	False
Phoneme	L01S04W00P00	L01S04W00	a	False
Phoneme	L01S04W00P01	L01S04W00	nː	False
Phoneme	L01S04W00P02	L01S04W00	a	False
Word	L01S04W01	L01S04	flyttar	False
Phoneme	L01S04W01P00	L01S04W01	flyttar	False
Word	L01S04W02	L01S04	sex	False
Phoneme	L01S04W02P00	L01S04W02	sex	False
Word	L01S04W03	L01S04	gamla	False
Phoneme	L01S04W03P00	L01S04W03	gamla	False
Word	L01S04W04	L01S04	korgar	False
Phoneme	L01S04W04P00	L01S04W04	korgar	False
Sentence	L01S05	L01	Sentence05	False
Word	L01S05W00	L01S05	Elsa	False
Phoneme	L01S05W00P00	L01S05W00	ɛ̝	False
Phoneme	L01S05W00P01	L01S05W00	lː	False
Phoneme	L01S05W00P02	L01S05W00	s	False
Phoneme	L01S05W00P03	L01S05W00	a	False
Word	L01S05W01	L01S05	ägde	False
Phoneme	L01S05W01P00	L01S05W01	ägde	False
Word	L01S05W02	L01S05	arton	False
Phoneme	L01S05W02P00	L01S05W02	arton	False
Word	L01S05W03	L01S05	svarta	False
Phoneme	L01S05W03P00	L01S05W03	svarta	False
Word	L01S05W04	L01S05	knappar	False
Phoneme	L01S05W04P00	L01S05W04	knappar	False
Sentence	L01S06	L01	Sentence06	False
Word	L01S06W00	L01S06	Peter	False
Phoneme	L01S06W00P00	L01S06W00	p	False
Phoneme	L01S06W00P01	L01S06W00	eː	False
Phoneme	L01S06W00P02	L01S06W00	t	False
Phoneme	L01S06W00P03	L01S06W00	e̞	False
Phoneme	L01S06W00P04	L01S06W00	r	False
Word	L01S06W01	L01S06	ser	False
Phoneme	L01S06W01P00	L01S06W01	ser	False
Word	L01S06W02	L01S06	elva	False
Phoneme	L01S06W02P00	L01S06W02	elva	False
Word	L01S06W03	L01S06	stora	False
Phoneme	L01S06W03P00	L01S06W03	stora	False
Word	L01S06W04	L01S06	lådor	False
Phoneme	L01S06W04P00	L01S06W04	lådor	False
Sentence	L01S07	L01	Sentence07	False
Word	L01S07W00	L01S07	Jonas	False
Phoneme	L01S07W00P00	L01S07W00	ʝ	False
Phoneme	L01S07W00P01	L01S07W00	uː	False
Phoneme	L01S07W00P02	L01S07W00	n	False
Phoneme	L01S07W00P03	L01S07W00	a	False
Phoneme	L01S07W00P04	L01S07W00	s	False
Word	L01S07W01	L01S07	höll	False
Phoneme	L01S07W01P00	L01S07W01	höll	False
