Id	Transcription
L02S09W03P00	svarta
L02S09W04P00	ringar
L03S00W00P00	ɡ
L03S00W00P01	ɵ
L03S00W00P02	sː
L03S00W00P03	t
L03S00W00P04	ɑ
L03S00W00P05	v
L03S00W01P00	ser
L03S00W02P00	tolv
L03S00W03P00	svarta
L03S00W04P00	skålar
L03S01W00P00	ʝ
L03S01W00P01	uː
L03S01W00P02	n
L03S01W00P03	a
L03S01W00P04	s
L03S01W01P00	flyttar
L03S01W02P00	sju
L03S01W03P00	ljusa
L03S01W04P00	lådor
L03S02W00P00	m
L03S02W00P01	ɛ̝
L03S02W00P02	ʈː
L03S02W00P03	a
L03S02W01P00	köpte
L03S02W02P00	fyra
L03S02W03P00	hela
L03S02W04P00	mössor
L03S03W00P00	ɛ̝
L03S03W00P01	lː
L03S03W00P02	s
L03S03W00P03	a
L03S03W01P00	lånar
L03S03W02P00	tre
L03S03W03P00	mörka
L03S03W04P00	vantar
L03S04W00P00	k
L03S04W00P01	ɑː
L03S04W00P02	r
L03S04W00P03	ɪ
L03S04W00P04	n
L03S04W01P00	visar
L03S04W02P00	åtta
L03S04W03P00	gamla
L03S04W04P00	dukar
L03S05W00P00	b
L03S05W00P01	ʊ
L03S05W00P02	sː
L03S05W00P03	e̞
L03S05W01P00	ägde
L03S05W02P00	sex
L03S05W03P00	vackra
L03S05W04P00	ringar
L03S06W00P00	p
L03S06W00P01	eː
L03S06W00P02	t
L03S06W00P03	e̞
L03S06W00P04	r
L03S06W01P00	gav
L03S06W02P00	två
L03S06W03P00	stora
L03S06W04P00	bollar
L03S07W00P00	b
L03S07W00P01	r
L03S07W00P02	ɪ
L03S07W00P03	tː
L03S07W00P04	a
L03S07W01P00	tog
L03S07W02P00	arton
L03S07W03P00	nya
L03S07W04P00	pennor
L03S08W00P00	s
L03S08W00P01	v
L03S08W00P02	a
L03S08W00P03	nː
L03S08W00P04	t
L03S08W00P05	e̞
L03S08W01P00	har
L03S08W02P00	nio
L03S08W03P00	fina
L03S08W04P00	knappar
L03S09W00P00	a
L03S09W00P01	nː
L03S09W00P02	a
L03S09W01P00	höll
L03S09W02P00	elva
L03S09W03P00	lätta
L03S09W04P00	korgar
L04S00W00P00	p
L04S00W00P01	eː
L04S00W00P02	t
L04S00W00P03	e̞
L04S00W00P04	r
L04S00W01P00	köpte
L04S00W02P00	två
L04S00W03P00	fina
L04S00W04P00	knappar
L04S01W00P00	b
L04S01W00P01	ʊ
L04S01W00P02	sː
L04S01W00P03	e̞
L04S01W01P00	gav
L04S01W02P00	sex
L04S01W03P00	nya
L04S01W04P00	dukar
L04S02W00P00	b
L04S02W00P01	r
L04S02W00P02	ɪ
L04S02W00P03	tː
L04S02W00P04	a
L04S02W01P00	flyttar
L04S02W02P00	fyra
L04S02W03P00	lätta
L04S02W04P00	vantar
L04S03W00P00	a
L04S03W00P01	nː
L04S03W00P02	a
L04S03W01P00	höll
L04S03W02P00	tre
L04S03W03P00	vackra
L04S03W04P00	ringar
L04S04W00P00	s
L04S04W00P01	v
L04S04W00P02	a
L04S04W00P03	nː
L04S04W00P04	t
L04S04W00P05	e̞
L04S04W01P00	visar
L04S04W02P00	åtta
L04S04W03P00	stora
L04S04W04P00	pennor
L04S05W00P00	k
L04S05W00P01	ɑː
L04S05W00P02	r
L04S05W00P03	ɪ
L04S05W00P04	n
L04S05W01P00	tog
L04S05W02P00	tolv
L04S05W03P00	mörka
L04S05W04P00	lådor
L04S06W00P00	ɛ̝
L04S06W00P01	lː
L04S06W00P02	s
L04S06W00P03	a
L04S06W01P00	lånar
L04S06W02P00	arton
L04S06W03P00	hela
L04S06W04P00	bollar
L04S07W00P00	ʝ
L04S07W00P01	uː
L04S07W00P02	n
L04S07W00P03	a
L04S07W00P04	s
L04S07W01P00	ser
L04S07W02P00	elva
L04S07W03P00	svarta
L04S07W04P00	mössor
L04S08W00P00	m
L04S08W00P01	ɛ̝
L04S08W00P02	ʈː
L04S08W00P03	a
L04S08W01P00	ägde
L04S08W02P00	nio
L04S08W03P00	gamla
L04S08W04P00	korgar
L04S09W00P00	ɡ
L04S09W00P01	ɵ
L04S09W00P02	sː
L04S09W00P03	t
L04S09W00P04	ɑ
L04S09W00P05	v
L04S09W01P00	har
L04S09W02P00	sju
L04S09W03P00	ljusa
L04S09W04P00	skålar
L05S00W00P00	ʝ
L05S00W00P01	uː
L05S00W00P02	n
L05S00W00P03	a
L05S00W00P04	s
L05S00W01P00	visar
L05S00W02P00	arton
L05S00W03P00	lätta
L05S00W04P00	korgar
L05S01W00P00	a
L05S01W00P01	nː
L05S01W00P02	a
L05S01W01P00	gav
L05S01W02P00	sju
L05S01W03P00	fina
L05S01W04P00	ringar
L05S02W00P00	ɡ
L05S02W00P01	ɵ
L05S02W00P02	sː
L05S02W00P03	t
L05S02W00P04	ɑ
L05S02W00P05	v
L05S02W01P00	köpte
L05S02W02P00	sex
L05S02W03P00	hela
L05S02W04P00	knappar
L05S03W00P00	s
L05S03W00P01	v
L05S03W00P02	a
L05S03W00P03	nː
L05S03W00P04	t
L05S03W00P05	e̞
L05S03W01P00	tog
L05S03W02P00	nio
L05S03W03P00	ljusa
L05S03W04P00	dukar
L05S04W00P00	b
L05S04W00P01	ʊ
L05S04W00P02	sː
L05S04W00P03	e̞
L05S04W01P00	höll
L05S04W02P00	tre
L05S04W03P00	mörka
L05S04W04P00	vantar
L05S05W00P00	b
L05S05W00P01	r
L05S05W00P02	ɪ
L05S05W00P03	tː
L05S05W00P04	a
L05S05W01P00	har
L05S05W02P00	fyra
L05S05W03P00	vackra
L05S05W04P00	skålar
L05S06W00P00	k
L05S06W00P01	ɑː
L05S06W00P02	r
L05S06W00P03	ɪ
L05S06W00P04	n
L05S06W01P00	ägde
L05S06W02P00	åtta
L05S06W03P00	nya
L05S06W04P00	lådor
L05S07W00P00	m
L05S07W00P01	ɛ̝
L05S07W00P02	ʈː
L05S07W00P03	a
L05S07W01P00	lånar
L05S07W02P00	tolv
L05S07W03P00	stora
L05S07W04P00	mössor
L05S08W00P00	ɛ̝
L05S08W00P01	lː
L05S08W00P02	s
L05S08W00P03	a
L05S08W01P00	ser
L05S08W02P00	två
L05S08W03P00	svarta
L05S08W04P00	pennor
L05S09W00P00	p
L05S09W00P01	eː
L05S09W00P02	t
L05S09W00P03	e̞
L05S09W00P04	r
L05S09W01P00	flyttar
L05S09W02P00	elva
L05S09W03P00	gamla
L05S09W04P00	bollar
L06S00W00P00	ɛ̝
L06S00W00P01	lː
L06S00W00P02	s
L06S00W00P03	a
L06S00W01P00	flyttar
L06S00W02P00	tre
L06S00W03P00	stora
L06S00W04P00	mössor
L06S01W00P00	m
L06S01W00P01	ɛ̝
L06S01W00P02	ʈː
L06S01W00P03	a
L06S01W01P00	tog
L06S01W02P00	nio
L06S01W03P00	vackra
L06S01W04P00	skålar
L06S02W00P00	b
L06S02W00P01	r
L06S02W00P02	ɪ
L06S02W00P03	tː
L06S02W00P04	a
L06S02W01P00	lånar
L06S02W02P00	tolv
L06S02W03P00	lätta
L06S02W04P00	ringar
L06S03W00P00	ɡ
L06S03W00P01	ɵ
L06S03W00P02	sː
L06S03W00P03	t
L06S03W00P04	ɑ
L06S03W00P05	v
L06S03W01P00	har
L06S03W02P00	sju
L06S03W03P00	hela
L06S03W04P00	vantar
L06S04W00P00	s
L06S04W00P01	v
L06S04W00P02	a
L06S04W00P03	nː
L06S04W00P04	t
L06S04W00P05	e̞
L06S04W01P00	höll
L06S04W02P00	arton
L06S04W03P00	nya
L06S04W04P00	bollar
L06S05W00P00	ʝ
L06S05W00P01	uː
L06S05W00P02	n
