// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Phoneme	L02S08W00P00	L02S08W00	ʝ	False
Phoneme	L02S08W00P01	L02S08W00	uː	False
Phoneme	L02S08W00P02	L02S08W00	n	False
Phoneme	L02S08W00P03	L02S08W00	a	False
Phoneme	L02S08W00P04	L02S08W00	s	False
Word	L02S08W01	L02S08	köpte	False
Phoneme	L02S08W01P00	L02S08W01	köpte	False
Word	L02S08W02	L02S08	sex	False
Phoneme	L02S08W02P00	L02S08W02	sex	False
Word	L02S08W03	L02S08	nya	False
Phoneme	L02S08W03P00	L02S08W03	nya	False
Word	L02S08W04	L02S08	vantar	False
Phoneme	L02S08W04P00	L02S08W04	vantar	False
Sentence	L02S09	L02	Sentence09	False
Word	L02S09W00	L02S09	Anna	False
Phoneme	L02S09W00P00	L02S09W00	a	False
Phoneme	L02S09W00P01	L02S09W00	nː	False
Phoneme	L02S09W00P02	L02S09W00	a	False
Word	L02S09W01	L02S09	ser	False
Phoneme	L02S09W01P00	L02S09W01	ser	False
Word	L02S09W02	L02S09	tre	False
Phoneme	L02S09W02P00	L02S09W02	tre	False
Word	L02S09W03	L02S09	svarta	False
Phoneme	L02S09W03P00	L02S09W03	svarta	False
Word	L02S09W04	L02S09	ringar	False
Phoneme	L02S09W04P00	L02S09W04	ringar	False
				
List	L03	Swedish Matrix Test (Hagerman)	Lista 3	False
Sentence	L03S00	L03	Sentence00	False
Word	L03S00W00	L03S00	Gustav	False
Phoneme	L03S00W00P00	L03S00W00	ɡ	False
Phoneme	L03S00W00P01	L03S00W00	ɵ	False
Phoneme	L03S00W00P02	L03S00W00	sː	False
Phoneme	L03S00W00P03	L03S00W00	t	False
Phoneme	L03S00W00P04	L03S00W00	ɑ	False
Phoneme	L03S00W00P05	L03S00W00	v	False
Word	L03S00W01	L03S00	ser	False
Phoneme	L03S00W01P00	L03S00W01	ser	False
Word	L03S00W02	L03S00	tolv	False
Phoneme	L03S00W02P00	L03S00W02	tolv	False
Word	L03S00W03	L03S00	svarta	False
Phoneme	L03S00W03P00	L03S00W03	svarta	False
