Id	RLxs	SLm_00150	SLm_00250	SLm_00350	SLm_00450	SLm_00570	SLm_00700	SLm_00840	SLm_01000	SLm_01170	SLm_01370	SLm_01600	SLm_01850	SLm_02150	SLm_02500	SLm_02900	SLm_03400	SLm_04000	SLm_04800	SLm_05800	SLm_07000	SLm_08500
C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
L01	-24,5580035345358	47,9867239772359	43,9651644498406	45,3349693107575	44,5270180785463	45,2103871489986	44,1961260023408	42,8026229494588	41,1261970978117	36,6205423287329	34,3364295185726	34,0561449052958	35,2974551485378	33,6347821939002	32,3349447922403	30,3536973161006	25,834568907413	22,0135318036281	21,0070857233943	18,4270785186147	14,6209829371049	11,5472670037252
L02	-23,3038728797538	48,876579695634	47,1979599284265	48,5959992021893	47,1766388241414	46,2032545501239	44,8375054941655	43,597866105809	41,2242184419319	39,1205261006656	37,0322865838801	33,8955655750937	32,0290160650661	29,7788557118096	29,3401020287139	29,9318156853624	25,6881796304764	21,9888648154352	19,598178892221	17,4784377941852	14,8675003836587	11,1952130882511
L03	-30,3128022429128	43,2071156381195	42,7657251732232	36,6076244014046	29,9046146383676	26,4624334834317	22,5832454290116	18,8453998336343	18,7456498143911	15,7768044752042	14,4263576664933	13,3929050877929	11,697531169613	11,3857163868341	12,3274005020075	6,48296879742103	1,81538615719799	-3,80172113697614	-6,44686610099538	-10,4758170611743	-11,7893690323737	-12,8450082001794
L04	-23,3093971423594	51,2118430076958	50,6933228071626	49,5096732141935	43,3405736384178	42,5941430735399	42,5877816257649	37,442490058114	34,5141754430777	33,0574210190463	28,7270208582005	27,6547373933856	30,6170145743451	26,8708703118242	28,5229297142592	27,6353333072159	27,4203193112887	22,766438694432	18,5077511783232	17,2378031418805	15,1044205100675	12,117324433718
L05	-24,2825996980899	50,6029273518266	44,9869523661317	47,2118786090444	40,9523631893897	44,2693467983568	40,8530728635676	35,7735711859061	35,8584561105446	32,5536104865245	32,6519326753836	33,1337003629735	35,426903430374	33,6904356848447	34,1764579755396	31,755743400168	25,2550778014765	23,0139487950947	20,6667828419201	20,072907594943	20,3323217825475	19,7491705537534
L06	-24,4605028259666	50,6984412802903	46,0523203460905	45,4467017266492	45,0489947831357	46,8602632786978	40,6319367945654	38,3341038192675	33,9777498617215	33,1963027844721	34,9489576790577	30,8744793350812	30,6911402886298	33,1091658104835	32,2468227727133	31,3186803657349	26,9190148994123	21,5754759455023	19,6670390691454	15,6300842525461	11,4907581965307	14,0169287474282
L07	-36,2773231751496	36,3916375479127	28,6137020501816	25,1917393233941	25,4885111429629	24,0468388701437	24,2807044487373	28,7234661452652	23,7884921835114	26,4662381275791	25,4896187103383	24,9273145940204	24,3220233966412	22,8674021745494	24,1031867243031	25,907919401392	23,1423684970437	22,8052812766095	22,0878512224254	21,0980978258554	17,2064161678857	18,5069519344421
L08	-25,80893118523	48,8903841257771	44,7038068122932	44,2181257770018	45,6956677346445	44,0801509535731	38,8687832548049	36,9508083660309	32,6183449214601	32,2993995682988	30,8087043889098	31,4876044527606	31,2134464651766	31,2738761653587	31,4658858427891	31,3100184686312	28,0190348222592	21,3003912861898	18,9696026888222	14,6533608066435	10,7968549259973	12,1341700770914
L09	-23,2252668305465	47,2146958434313	44,7168615139481	47,0401548968007	44,5442107013742	46,7426808104597	46,2472069888464	42,848593154822	43,081175223898	42,5617626045756	41,06112105625	35,8167677474502	36,4256560477735	34,6235868142312	31,9984363580442	29,2583231232621	23,5639585630016	18,0796216116967	17,0364416462984	15,3084000859932	13,0453581011579	14,6178995844157
