Id	Transcription
L01S03W00P02	oː
L01S03W00P03	m
L01S03W00P04	b
L01S03W00P05	uː
L01S03W00P06	k
L01S03W00P07	e̞
L01S03W00P08	n
L01S03W01P00	l
L01S03W01P01	oː
L01S03W01P02	ɡ
L01S03W02P00	k
L01S03W02P01	v
L01S03W02P02	ɑː
L01S03W02P03	r
L01S03W03P00	p
L01S03W03P01	oː
L01S03W04P00	iː
L01S03W04P01	s
L01S03W04P02	e̞
L01S03W04P03	n
L01S04W00P00	m
L01S04W00P01	a
L01S04W00P02	mː
L01S04W00P03	a
L01S04W01P00	l
L01S04W01P01	ɛː
L01S04W01P02	r
L01S04W02P00	s
L01S04W02P01	ɛ̝
L01S04W02P02	ʝː
L01S04W03P00	h
L01S04W03P01	ɔ
L01S04W03P02	pː
L01S04W03P03	a
L01S04W04P00	f
L01S04W04P01	a
L01S04W04P02	lː
L01S04W04P03	ɧ
L01S04W04P04	ɛ̝
L01S04W04P05	rː
L01S04W04P06	m
L01S05W00P00	d
L01S05W00P01	ɑː
L01S05W00P02	t
L01S05W00P03	ʊ
L01S05W00P04	ɳ
L01S05W01P00	b
L01S05W01P01	l
L01S05W01P02	eː
L01S05W01P03	v
L01S05W02P00	øː
L01S05W02P01	v
L01S05W02P02	e̞
L01S05W02P03	r
L01S05W02P04	h
L01S05W02P05	ɛ̝
L01S05W02P06	tː
L01S05W02P07	a
L01S05W02P08	d
L01S06W00P00	r
L01S06W00P01	ɛ̝
L01S06W00P02	kː
L01S06W00P03	t
L01S06W00P04	ʊ
L01S06W00P05	ɳ
L01S06W01P00	t
L01S06W01P01	uː
L01S06W01P02	ɡ
L01S06W02P00	f
L01S06W02P01	r
L01S06W02P02	a
L01S06W02P03	mː
L01S06W03P00	k
L01S06W03P01	a
L01S06W03P02	s
L01S06W03P03	t
L01S06W03P04	r
L01S06W03P05	ɵ
L01S06W03P06	lː
L01S06W03P07	e̞
L01S06W03P08	n
L01S07W00P00	k
L01S07W00P01	v
L01S07W00P02	ɪ
L01S07W00P03	nː
L01S07W00P04	a
L01S07W00P05	n
L01S07W01P00	a
L01S07W01P01	rː
L01S07W01P02	b
L01S07W01P03	e
L01S07W01P04	t
L01S07W01P05	a
L01S07W01P06	d
L01S07W01P07	e̞
L01S07W02P00	p
L01S07W02P01	oː
L01S07W03P00	p
L01S07W03P01	ɔ
L01S07W03P02	sː
L01S07W03P03	t
L01S07W03P04	e̞
L01S07W03P05	n
L01S08W00P00	n
L01S08W00P01	ɛ̝
L01S08W00P02	sː
L01S08W00P03	t
L01S08W00P04	a
L01S08W01P00	oː
L01S08W01P01	r
L01S08W02P00	b
L01S08W02P01	ø̞
L01S08W02P02	rː
L01S08W02P03	ʝ
L01S08W02P04	a
L01S08W02P05	r
L01S08W03P00	d
L01S08W03P01	ɔ
L01S08W03P02	mː
L01S08W04P00	ɧ
L01S08W04P01	ʉː
L01S08W04P02	a
L01S08W04P03	n
L01S09W00P00	b
L01S09W00P01	ʊ
L01S09W00P02	nː
L01S09W00P03	d
L01S09W00P04	e̞
L01S09W00P05	n
L01S09W01P00	ɧ
L01S09W01P01	ɵ
L01S09W01P02	sː
L01S09W01P03	a
L01S09W01P04	d
L01S09W01P05	e̞
L01S09W02P00	s
L01S09W02P01	iː
L01S09W02P02	n
L01S09W02P03	a
L01S09W03P00	b
L01S09W03P01	ɑː
L01S09W03P02	ɳ
L02S00W00P00	k
L02S00W00P01	v
L02S00W00P02	ɪ
L02S00W00P03	nː
L02S00W00P04	a
L02S00W00P05	n
L02S00W01P00	r
L02S00W01P01	ɪ
L02S00W01P02	ŋː
L02S00W01P03	d
L02S00W01P04	e̞
L02S00W02P00	s
L02S00W02P01	ɪ
L02S00W02P02	nː
L02S00W03P00	s
L02S00W03P01	ʏ
L02S00W03P02	sː
L02S00W03P03	t
L02S00W03P04	e̞
L02S00W03P05	r
L02S01W00P00	iː
L02S01W00P01	s
L02S01W00P02	e̞
L02S01W00P03	n
L02S01W01P00	l
L02S01W01P01	ɑː
L02S01W01P02	d
L02S01W01P03	e̞
L02S01W02P00	s
L02S01W02P01	ɛ̝
L02S01W02P02	ʝː
L02S01W03P00	øː
L02S01W03P01	v
L02S01W03P02	e̞
L02S01W03P03	r
L02S01W04P00	ɧ
L02S01W04P01	ø̞
L02S01W04P02	nː
L02S02W00P00	t
L02S02W00P01	r
L02S02W00P02	ɛː
L02S02W00P03	d
L02S02W00P04	e̞
L02S02W00P05	n
L02S02W01P00	ɡ
L02S02W01P01	ɑː
L02S02W01P02	v
L02S02W02P00	s
L02S02W02P01	v
L02S02W02P02	a
L02S02W02P03	lː
L02S02W02P04	k
L02S02W02P05	a
L02S02W02P06	n
L02S02W02P07	d
L02S02W02P08	e̞
L02S02W03P00	s
L02S02W03P01	k
L02S02W03P02	ɵ
L02S02W03P03	ɡː
L02S02W03P04	a
L02S03W00P00	p
L02S03W00P01	e̞
L02S03W00P02	ʂ
L02S03W00P03	ʊ
L02S03W00P04	n
L02S03W00P05	ɑː
L02S03W00P06	l
L02S03W00P07	e̞
L02S03W00P08	n
L02S03W01P00	k
L02S03W01P01	ɔ
L02S03W01P02	mː
L02S03W01P03	e̞
L02S03W01P04	r
L02S03W02P00	ɪ
L02S03W02P01	m
L02S03W02P02	ɔ
L02S03W02P03	rː
L02S03W02P04	ɔ
L02S03W02P05	n
L02S04W00P00	k
L02S04W00P01	ɔ
L02S04W00P02	rː
L02S04W00P03	v
L02S04W00P04	ɡ
L02S04W00P05	ɵ
L02S04W00P06	bː
L02S04W00P07	e̞
L02S04W00P08	n
L02S04W01P00	t
L02S04W01P01	ɪ
L02S04W01P02	tː
L02S04W01P03	a
