// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Sentence	L02S06	L02	Sentence06	False
Word	L02S06W00	L02S06	Killen	False
Word	L02S06W01	L02S06	halkade	False
Word	L02S06W02	L02S06	i	False
Word	L02S06W03	L02S06	badrummet	False
Sentence	L02S07	L02	Sentence07	False
Word	L02S07W00	L02S07	Mannen	False
Word	L02S07W01	L02S07	fotograferar	False
Word	L02S07W02	L02S07	slottet	False
Sentence	L02S08	L02	Sentence08	False
Word	L02S08W00	L02S08	Föräldrarna	False
Word	L02S08W01	L02S08	satt	False
Word	L02S08W02	L02S08	på	False
Word	L02S08W03	L02S08	balkongen	False
Sentence	L02S09	L02	Sentence09	False
Word	L02S09W00	L02S09	Tjejen	False
Word	L02S09W01	L02S09	tappade	False
Word	L02S09W02	L02S09	boken	False
				
List	L03	HINT	Lista 4	False
Sentence	L03S00	L03	Sentence00	False
Word	L03S00W00	L03S00	I	False
Word	L03S00W01	L03S00	tallen	False
Word	L03S00W02	L03S00	satt	False
Word	L03S00W03	L03S00	en	False
Word	L03S00W04	L03S00	hackspett	False
Sentence	L03S01	L03	Sentence01	False
Word	L03S01W00	L03S01	Kvinnan	False
Word	L03S01W01	L03S01	missade	False
Word	L03S01W02	L03S01	barnens	False
Word	L03S01W03	L03S01	pjäs	False
Sentence	L03S02	L03	Sentence02	False
Word	L03S02W00	L03S02	Han	False
Word	L03S02W01	L03S02	försökte	False
Word	L03S02W02	L03S02	lyfta	False
Word	L03S02W03	L03S02	sju	False
Word	L03S02W04	L03S02	kilo	False
Sentence	L03S03	L03	Sentence03	False
Word	L03S03W00	L03S03	Mormor	False
Word	L03S03W01	L03S03	ska	False
Word	L03S03W02	L03S03	klippa	False
Word	L03S03W03	L03S03	sig	False
Word	L03S03W04	L03S03	på	False
Word	L03S03W05	L03S03	tisdag	False
Sentence	L03S04	L03	Sentence04	False
Word	L03S04W00	L03S04	Flickan	False
Word	L03S04W01	L03S04	brände	False
Word	L03S04W02	L03S04	sig	False
Word	L03S04W03	L03S04	på	False
Word	L03S04W04	L03S04	ryggen	False
Sentence	L03S05	L03	Sentence05	False
Word	L03S05W00	L03S05	Det	False
Word	L03S05W01	L03S05	gamla	False
Word	L03S05W02	L03S05	bordet	False
Word	L03S05W03	L03S05	står	False
Word	L03S05W04	L03S05	på	False
Word	L03S05W05	L03S05	gården	False
Sentence	L03S06	L03	Sentence06	False
Word	L03S06W00	L03S06	Killen	False
Word	L03S06W01	L03S06	visslade	False
Word	L03S06W02	L03S06	från	False
Word	L03S06W03	L03S06	balkongen	False
Sentence	L03S07	L03	Sentence07	False
Word	L03S07W00	L03S07	Turisten	False
Word	L03S07W01	L03S07	cyklade	False
Word	L03S07W02	L03S07	över	False
Word	L03S07W03	L03S07	bron	False
Sentence	L03S08	L03	Sentence08	False
Word	L03S08W00	L03S08	Pojken	False
Word	L03S08W01	L03S08	startade	False
Word	L03S08W02	L03S08	en	False
Word	L03S08W03	L03S08	förening	False
Sentence	L03S09	L03	Sentence09	False
Word	L03S09W00	L03S09	Rummet	False
Word	L03S09W01	L03S09	har	False
Word	L03S09W02	L03S09	tre	False
Word	L03S09W03	L03S09	gula	False
Word	L03S09W04	L03S09	väggar	False
				
List	L04	HINT	Lista 5	False
Sentence	L04S00	L04	Sentence00	False
Word	L04S00W00	L04S00	Flickan	False
Word	L04S00W01	L04S00	ska	False
Word	L04S00W02	L04S00	åka	False
Word	L04S00W03	L04S00	skridskor	False
