// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Phoneme	L00S04W02P07	L00S04W02	a	False
Word	L00S04W03	L00S04	var	False
Phoneme	L00S04W03P00	L00S04W03	v	False
Phoneme	L00S04W03P01	L00S04W03	ɑː	False
Phoneme	L00S04W03P02	L00S04W03	r	False
Word	L00S04W04	L00S04	för	False
Phoneme	L00S04W04P00	L00S04W04	f	False
Phoneme	L00S04W04P01	L00S04W04	øː	False
Phoneme	L00S04W04P02	L00S04W04	r	False
Word	L00S04W05	L00S04	små	False
Phoneme	L00S04W05P00	L00S04W05	s	False
Phoneme	L00S04W05P01	L00S04W05	m	False
Phoneme	L00S04W05P02	L00S04W05	oː	False
Sentence	L00S05	L00	Sentence05	False
Word	L00S05W00	L00S05	Hunden	False
Phoneme	L00S05W00P00	L00S05W00	h	False
Phoneme	L00S05W00P01	L00S05W00	ɵ	False
Phoneme	L00S05W00P02	L00S05W00	nː	False
Phoneme	L00S05W00P03	L00S05W00	d	False
Phoneme	L00S05W00P04	L00S05W00	e̞	False
Phoneme	L00S05W00P05	L00S05W00	n	False
Word	L00S05W01	L00S05	kom	False
Phoneme	L00S05W01P00	L00S05W01	k	False
Phoneme	L00S05W01P01	L00S05W01	ɔ	False
Phoneme	L00S05W01P02	L00S05W01	mː	False
Word	L00S05W02	L00S05	hem	False
Phoneme	L00S05W02P00	L00S05W02	h	False
Phoneme	L00S05W02P01	L00S05W02	ɛ̝	False
Phoneme	L00S05W02P02	L00S05W02	mː	False
Word	L00S05W03	L00S05	till	False
Phoneme	L00S05W03P00	L00S05W03	t	False
Phoneme	L00S05W03P01	L00S05W03	ɪ	False
Phoneme	L00S05W03P02	L00S05W03	lː	False
Word	L00S05W04	L00S05	slut	False
Phoneme	L00S05W04P00	L00S05W04	s	False
Phoneme	L00S05W04P01	L00S05W04	l	False
Phoneme	L00S05W04P02	L00S05W04	ʉː	False
Phoneme	L00S05W04P03	L00S05W04	t	False
Sentence	L00S06	L00	Sentence06	False
Word	L00S06W00	L00S06	Bebisen	False
Phoneme	L00S06W00P00	L00S06W00	b	False
Phoneme	L00S06W00P01	L00S06W00	ɛː	False
Phoneme	L00S06W00P02	L00S06W00	b	False
Phoneme	L00S06W00P03	L00S06W00	ɪ	False
Phoneme	L00S06W00P04	L00S06W00	s	False
Phoneme	L00S06W00P05	L00S06W00	e̞	False
Phoneme	L00S06W00P06	L00S06W00	n	False
Word	L00S06W01	L00S06	sover	False
Phoneme	L00S06W01P00	L00S06W01	s	False
Phoneme	L00S06W01P01	L00S06W01	oː	False
Phoneme	L00S06W01P02	L00S06W01	v	False
Phoneme	L00S06W01P03	L00S06W01	e̞	False
Phoneme	L00S06W01P04	L00S06W01	r	False
Word	L00S06W02	L00S06	i	False
Phoneme	L00S06W02P00	L00S06W02	iː	False
Word	L00S06W03	L00S06	skuggan	False
Phoneme	L00S06W03P00	L00S06W03	s	False
Phoneme	L00S06W03P01	L00S06W03	k	False
Phoneme	L00S06W03P02	L00S06W03	ɵ	False
Phoneme	L00S06W03P03	L00S06W03	ɡː	False
Phoneme	L00S06W03P04	L00S06W03	a	False
Phoneme	L00S06W03P05	L00S06W03	n	False
Sentence	L00S07	L00	Sentence07	False
Word	L00S07W00	L00S07	Hon	False
Phoneme	L00S07W00P00	L00S07W00	h	False
Phoneme	L00S07W00P01	L00S07W00	ʊ	False
Phoneme	L00S07W00P02	L00S07W00	nː	False
Word	L00S07W01	L00S07	klättrar	False
Phoneme	L00S07W01P00	L00S07W01	k	False
Phoneme	L00S07W01P01	L00S07W01	l	False
Phoneme	L00S07W01P02	L00S07W01	ɛ̝	False
Phoneme	L00S07W01P03	L00S07W01	tː	False
Phoneme	L00S07W01P04	L00S07W01	r	False
Phoneme	L00S07W01P05	L00S07W01	a	False
Phoneme	L00S07W01P06	L00S07W01	r	False
Word	L00S07W02	L00S07	upp	False
