Id	Transcription
L00S72W00P03	v
L00S73W00P00	d
L00S73W00P01	r
L00S73W00P02	ɪ
L00S73W00P03	kː
L00S73W00P04	s
L00S74W00P00	d
L00S74W00P01	r
L00S74W00P02	ɪ
L00S74W00P03	fː
L00S74W00P04	t
L00S75W00P00	d
L00S75W00P01	r
L00S75W00P02	ɪ
L00S75W00P03	lː
L00S76W00P00	d
L00S76W00P01	r
L00S76W00P02	ɪ
L00S76W00P03	ŋː
L00S76W00P04	k
L00S77W00P00	d
L00S77W00P01	r
L00S77W00P02	iː
L00S77W00P03	v
L00S78W00P00	d
L00S78W00P01	r
L00S78W00P02	ʏ
L00S78W00P03	kː
L00S79W00P00	d
L00S79W00P01	r
L00S79W00P02	yː
L00S79W00P03	ɡ
L00S80W00P00	d
L00S80W00P01	r
L00S80W00P02	ɛ̝
L00S80W00P03	kː
L00S80W00P04	t
L00S81W00P00	d
L00S81W00P01	r
L00S81W00P02	ø̞
L00S81W00P03	mː
L00S82W00P00	d
L00S82W00P01	r
L00S82W00P02	ø̞
L00S82W00P03	mː
L00S82W00P04	s
L00S82W00P05	k
L00S83W00P00	d
L00S83W00P01	ʉː
L00S83W00P02	k
L00S84W00P00	d
L00S84W00P01	ʉː
L00S84W00P02	n
L00S85W00P00	d
L00S85W00P01	ɵ
L00S85W00P02	ŋː
L00S85W00P03	k
L00S86W00P00	d
L00S86W00P01	ʉː
L00S86W00P02	r
L00S87W00P00	d
L00S87W00P01	ɵ
L00S87W00P02	ʂː
L00S88W00P00	d
L00S88W00P01	ʏ
L00S88W00P02	ɡː
L00S88W00P03	d
L00S89W00P00	d
L00S89W00P01	ʏ
L00S89W00P02	ŋː
L00S89W00P03	n
L00S90W00P00	d
L00S90W00P01	oː
L00S90W00P02	d
L00S91W00P00	d
L00S91W00P01	oː
L00S91W00P02	n
L00S92W00P00	d
L00S92W00P01	ɛ̝
L00S92W00P02	kː
L00S93W00P00	d
L00S93W00P01	ø̞
L00S93W00P02	mː
L00S93W00P03	d
L00S94W00P00	d
L00S94W00P01	ø̞
L00S94W00P02	rː
L00S95W00P00	f
L00S95W00P01	a
L00S95W00P02	kː
L00S96W00P00	f
L00S96W00P01	a
L00S96W00P02	lː
L00S96W00P03	s
L00S96W00P04	k
L00S97W00P00	f
L00S97W00P01	a
L00S97W00P02	mː
L00S97W00P03	n
L00S98W00P00	f
L00S98W00P01	ɑː
L00S98W00P02	r
L00S99W00P00	f
L00S99W00P01	ɑː
L00S99W00P02	ʈ
L00S100W00P00	f
L00S100W00P01	ɑː
L00S100W00P02	t
L00S101W00P00	f
L00S101W00P01	eː
L00S101W00P02	ɡ
L00S102W00P00	f
L00S102W00P01	ɛ̝
L00S102W00P02	ʝː
L00S102W00P03	d
L00S103W00P00	f
L00S103W00P01	ɛ̝
L00S103W00P02	tː
L00S104W00P00	f
L00S104W00P01	iː
L00S104W00P02	k
L00S105W00P00	f
L00S105W00P01	iː
L00S105W00P02	l
L00S106W00P00	f
L00S106W00P01	ɪ
L00S106W00P02	lː
L00S106W00P03	t
L00S107W00P00	f
L00S107W00P01	ɪ
L00S107W00P02	sː
L00S107W00P03	k
L00S108W00P00	f
L00S108W00P01	ʝ
L00S108W00P02	ʉː
L00S108W00P03	n
L00S109W00P00	f
L00S109W00P01	ʝ
L00S109W00P02	ɛ̝
L00S109W00P03	sː
L00S109W00P04	k
L00S110W00P00	f
L00S110W00P01	l
L00S110W00P02	ɑː
L00S110W00P03	k
L00S111W00P00	f
L00S111W00P01	l
L00S111W00P02	a
L00S111W00P03	mː
L00S111W00P04	s
L00S112W00P00	f
L00S112W00P01	l
L00S112W00P02	a
L00S112W00P03	ŋː
L00S112W00P04	k
L00S113W00P00	f
L00S113W00P01	l
L00S113W00P02	iː
L00S113W00P03	k
L00S114W00P00	f
L00S114W00P01	l
L00S114W00P02	iː
L00S114W00P03	n
L00S115W00P00	f
L00S115W00P01	l
L00S115W00P02	iː
L00S115W00P03	t
L00S116W00P00	f
L00S116W00P01	l
L00S116W00P02	ɔ
L00S116W00P03	kː
L00S117W00P00	f
L00S117W00P01	l
L00S117W00P02	yː
L00S118W00P00	f
L00S118W00P01	l
L00S118W00P02	yː
L00S118W00P03	t
L00S119W00P00	f
L00S119W00P01	l
L00S119W00P02	ʏ
L00S119W00P03	tː
L00S120W00P00	f
L00S120W00P01	l
L00S120W00P02	oː
L00S121W00P00	f
L00S121W00P01	l
L00S121W00P02	oː
L00S121W00P03	s
L00S122W00P00	f
L00S122W00P01	l
L00S122W00P02	ɛ̝
L00S122W00P03	kː
L00S123W00P00	f
L00S123W00P01	l
L00S123W00P02	ɛ̝
L00S123W00P03	sː
L00S123W00P04	k
L00S124W00P00	f
L00S124W00P01	l
L00S124W00P02	ø̞
L00S124W00P03	ʝː
L00S124W00P04	t
L00S125W00P00	f
L00S125W00P01	n
L00S125W00P02	a
L00S125W00P03	tː
L00S126W00P00	f
L00S126W00P01	n
L00S126W00P02	ɪ
L00S126W00P03	sː
L00S127W00P00	f
L00S127W00P01	uː
L00S127W00P02	ɡ
L00S128W00P00	f
L00S128W00P01	ɔ
L00S128W00P02	nː
L00S128W00P03	d
L00S129W00P00	f
L00S129W00P01	uː
L00S129W00P02	t
L00S130W00P00	f
L00S130W00P01	r
L00S130W00P02	a
L00S130W00P03	kː
L00S131W00P00	f
L00S131W00P01	r
L00S131W00P02	a
L00S131W00P03	kː
L00S131W00P04	t
L00S132W00P00	f
L00S132W00P01	r
L00S132W00P02	ʉː
L00S133W00P00	f
L00S133W00P01	r
L00S133W00P02	ɵ
L00S133W00P03	kː
L00S133W00P04	t
L00S134W00P00	f
L00S134W00P01	r
L00S134W00P02	yː
L00S134W00P03	s
L00S135W00P00	f
L00S135W00P01	r
L00S135W00P02	yː
L00S135W00P03	s
L00S135W00P04	t
L00S136W00P00	f
L00S136W00P01	r
L00S136W00P02	ɛ̝
L00S136W00P03	kː
L00S137W00P00	f
L00S137W00P01	r
L00S137W00P02	ɛ̝
L00S137W00P03	lː
L00S137W00P04	s
L00S137W00P05	t
L00S138W00P00	f
L00S138W00P01	r
L00S138W00P02	ɛ̝
L00S138W00P03	mː
L00S138W00P04	s
L00S138W00P05	t
L00S139W00P00	f
L00S139W00P01	r
L00S139W00P02	ɛː
L00S139W00P03	n
L00S140W00P00	f
L00S140W00P01	ɵ
L00S140W00P02	kː
L00S140W00P03	t
L00S141W00P00	f
L00S141W00P01	ɵ
L00S141W00P02	sː
L00S141W00P03	k
L00S142W00P00	f
L00S142W00P01	ʏ
L00S142W00P02	lː
L00S142W00P03	d
L00S143W00P00	f
L00S143W00P01	ʏ
L00S143W00P02	nː
L00S143W00P03	d
L00S144W00P00	f
L00S144W00P01	ɔ
L00S144W00P02	ŋː
L00S144W00P03	s
L00S144W00P04	t
L00S145W00P00	f
L00S145W00P01	ɛ̝
L00S145W00P02	lː
L00S145W00P03	ʝ
L00S146W00P00	f
L00S146W00P01	ɛː
L00S146W00P02	ɖ
L00S147W00P00	f
L00S147W00P01	ɛ̝
L00S147W00P02	ʂː
L00S148W00P00	f
L00S148W00P01	ɛ̝
L00S148W00P02	ʂː
L00S148W00P03	k
L00S149W00P00	f
L00S149W00P01	ø̞
L00S149W00P02	dː
L00S150W00P00	f
L00S150W00P01	øː
L00S150W00P02	l
L00S151W00P00	f
L00S151W00P01	ø̞
L00S151W00P02	lː
L00S151W00P03	ʝ
L00S151W00P04	d
L00S152W00P00	f
L00S152W00P01	øː
L00S152W00P02	n
L00S153W00P00	ɡ
L00S153W00P01	ɑː
L00S153W00P02	s
L00S154W00P00	ɧ
L00S154W00P01	ɛ̝
L00S154W00P02	sː
L00S154W00P03	t
L00S155W00P00	ʝ
L00S155W00P01	ɪ
L00S155W00P02	fː
L00S155W00P03	t
L00S156W00P00	ɡ
L00S156W00P01	l
L00S156W00P02	a
L00S156W00P03	pː
L00S157W00P00	ɡ
L00S157W00P01	l
L00S157W00P02	a
L00S157W00P03	tː
L00S158W00P00	ɡ
L00S158W00P01	l
L00S158W00P02	eː
L00S158W00P03	s
L00S159W00P00	ɡ
L00S159W00P01	l
L00S159W00P02	iː
L00S159W00P03	d
L00S160W00P00	ɡ
L00S160W00P01	l
L00S160W00P02	ɪ
L00S160W00P03	mː
L00S160W00P04	t
L00S161W00P00	ɡ
L00S161W00P01	l
L00S161W00P02	uː
L00S162W00P00	ɡ
L00S162W00P01	l
L00S162W00P02	uː
L00S162W00P03	b
L00S163W00P00	ɡ
L00S163W00P01	l
L00S163W00P02	ɵ
L00S163W00P03	ɡː
L00S164W00P00	ɡ
L00S164W00P01	l
L00S164W00P02	ɵ
L00S164W00P03	pː
L00S164W00P04	s
L00S164W00P05	k
L00S165W00P00	ɡ
L00S165W00P01	l
L00S165W00P02	øː
L00S165W00P03	d
L00S166W00P00	ɡ
L00S166W00P01	l
L00S166W00P02	ø̞
L00S166W00P03	ɡː
L00S167W00P00	ɡ
L00S167W00P01	l
L00S167W00P02	ø̞
L00S167W00P03	mː
L00S167W00P04	d
