// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SwedishPB23		SwedishPB23	False
Word	L00S22W00	L00S22	borst	False
Phoneme	L00S22W00P00	L00S22W00	b	False
Phoneme	L00S22W00P01	L00S22W00	ɔ	False
Phoneme	L00S22W00P02	L00S22W00	ʂː	False
Phoneme	L00S22W00P03	L00S22W00	ʈ	False
Sentence	L00S23	L00	Sentence23	False
Word	L00S23W00	L00S23	bot	False
Phoneme	L00S23W00P00	L00S23W00	b	False
Phoneme	L00S23W00P01	L00S23W00	uː	False
Phoneme	L00S23W00P02	L00S23W00	t	False
Sentence	L00S24	L00	Sentence24	False
Word	L00S24W00	L00S24	bov	False
Phoneme	L00S24W00P00	L00S24W00	b	False
Phoneme	L00S24W00P01	L00S24W00	uː	False
Phoneme	L00S24W00P02	L00S24W00	v	False
Sentence	L00S25	L00	Sentence25	False
Word	L00S25W00	L00S25	bragd	False
Phoneme	L00S25W00P00	L00S25W00	b	False
Phoneme	L00S25W00P01	L00S25W00	r	False
Phoneme	L00S25W00P02	L00S25W00	a	False
Phoneme	L00S25W00P03	L00S25W00	ɡː	False
Phoneme	L00S25W00P04	L00S25W00	d	False
Sentence	L00S26	L00	Sentence26	False
Word	L00S26W00	L00S26	brak	False
Phoneme	L00S26W00P00	L00S26W00	b	False
Phoneme	L00S26W00P01	L00S26W00	r	False
Phoneme	L00S26W00P02	L00S26W00	ɑː	False
Phoneme	L00S26W00P03	L00S26W00	k	False
Sentence	L00S27	L00	Sentence27	False
Word	L00S27W00	L00S27	bransch	False
Phoneme	L00S27W00P00	L00S27W00	b	False
Phoneme	L00S27W00P01	L00S27W00	r	False
Phoneme	L00S27W00P02	L00S27W00	a	False
Phoneme	L00S27W00P03	L00S27W00	ɳː	False
Phoneme	L00S27W00P04	L00S27W00	ʂ	False
Sentence	L00S28	L00	Sentence28	False
Word	L00S28W00	L00S28	brev	False
Phoneme	L00S28W00P00	L00S28W00	b	False
Phoneme	L00S28W00P01	L00S28W00	r	False
Phoneme	L00S28W00P02	L00S28W00	eː	False
Phoneme	L00S28W00P03	L00S28W00	v	False
Sentence	L00S29	L00	Sentence29	False
Word	L00S29W00	L00S29	brist	False
Phoneme	L00S29W00P00	L00S29W00	b	False
Phoneme	L00S29W00P01	L00S29W00	r	False
Phoneme	L00S29W00P02	L00S29W00	ɪ	False
Phoneme	L00S29W00P03	L00S29W00	sː	False
Phoneme	L00S29W00P04	L00S29W00	t	False
Sentence	L00S30	L00	Sentence30	False
Word	L00S30W00	L00S30	bror	False
Phoneme	L00S30W00P00	L00S30W00	b	False
Phoneme	L00S30W00P01	L00S30W00	r	False
Phoneme	L00S30W00P02	L00S30W00	uː	False
Phoneme	L00S30W00P03	L00S30W00	r	False
Sentence	L00S31	L00	Sentence31	False
Word	L00S31W00	L00S31	brosk	False
Phoneme	L00S31W00P00	L00S31W00	b	False
Phoneme	L00S31W00P01	L00S31W00	r	False
Phoneme	L00S31W00P02	L00S31W00	ɔ	False
Phoneme	L00S31W00P03	L00S31W00	sː	False
Phoneme	L00S31W00P04	L00S31W00	k	False
Sentence	L00S32	L00	Sentence32	False
Word	L00S32W00	L00S32	brud	False
Phoneme	L00S32W00P00	L00S32W00	b	False
Phoneme	L00S32W00P01	L00S32W00	r	False
Phoneme	L00S32W00P02	L00S32W00	ʉː	False
Phoneme	L00S32W00P03	L00S32W00	d	False
Sentence	L00S33	L00	Sentence33	False
Word	L00S33W00	L00S33	bruk	False
Phoneme	L00S33W00P00	L00S33W00	b	False
Phoneme	L00S33W00P01	L00S33W00	r	False
Phoneme	L00S33W00P02	L00S33W00	ʉː	False
Phoneme	L00S33W00P03	L00S33W00	k	False
Sentence	L00S34	L00	Sentence34	False
Word	L00S34W00	L00S34	bry	False
Phoneme	L00S34W00P00	L00S34W00	b	False
Phoneme	L00S34W00P01	L00S34W00	r	False
Phoneme	L00S34W00P02	L00S34W00	yː	False
Sentence	L00S35	L00	Sentence35	False
Word	L00S35W00	L00S35	brydd	False
Phoneme	L00S35W00P00	L00S35W00	b	False
Phoneme	L00S35W00P01	L00S35W00	r	False
Phoneme	L00S35W00P02	L00S35W00	ʏ	False
Phoneme	L00S35W00P03	L00S35W00	dː	False
Sentence	L00S36	L00	Sentence36	False
Word	L00S36W00	L00S36	brysk	False
Phoneme	L00S36W00P00	L00S36W00	b	False
Phoneme	L00S36W00P01	L00S36W00	r	False
Phoneme	L00S36W00P02	L00S36W00	ʏ	False
Phoneme	L00S36W00P03	L00S36W00	sː	False
Phoneme	L00S36W00P04	L00S36W00	k	False
Sentence	L00S37	L00	Sentence37	False
Word	L00S37W00	L00S37	bråd	False
Phoneme	L00S37W00P00	L00S37W00	b	False
Phoneme	L00S37W00P01	L00S37W00	r	False
Phoneme	L00S37W00P02	L00S37W00	oː	False
Phoneme	L00S37W00P03	L00S37W00	d	False
Sentence	L00S38	L00	Sentence38	False
Word	L00S38W00	L00S38	bråk	False
Phoneme	L00S38W00P00	L00S38W00	b	False
Phoneme	L00S38W00P01	L00S38W00	r	False
Phoneme	L00S38W00P02	L00S38W00	oː	False
Phoneme	L00S38W00P03	L00S38W00	k	False
Sentence	L00S39	L00	Sentence39	False
Word	L00S39W00	L00S39	bröd	False
Phoneme	L00S39W00P00	L00S39W00	b	False
Phoneme	L00S39W00P01	L00S39W00	r	False
Phoneme	L00S39W00P02	L00S39W00	øː	False
Phoneme	L00S39W00P03	L00S39W00	d	False
Sentence	L00S40	L00	Sentence40	False
Word	L00S40W00	L00S40	bröt	False
Phoneme	L00S40W00P00	L00S40W00	b	False
Phoneme	L00S40W00P01	L00S40W00	r	False
Phoneme	L00S40W00P02	L00S40W00	øː	False
Phoneme	L00S40W00P03	L00S40W00	t	False
Sentence	L00S41	L00	Sentence41	False
Word	L00S41W00	L00S41	bud	False
Phoneme	L00S41W00P00	L00S41W00	b	False
Phoneme	L00S41W00P01	L00S41W00	ʉː	False
Phoneme	L00S41W00P02	L00S41W00	d	False
Sentence	L00S42	L00	Sentence42	False
Word	L00S42W00	L00S42	buk	False
Phoneme	L00S42W00P00	L00S42W00	b	False
Phoneme	L00S42W00P01	L00S42W00	ʉː	False
Phoneme	L00S42W00P02	L00S42W00	k	False
Sentence	L00S43	L00	Sentence43	False
Word	L00S43W00	L00S43	bukt	False
Phoneme	L00S43W00P00	L00S43W00	b	False
Phoneme	L00S43W00P01	L00S43W00	ɵ	False
Phoneme	L00S43W00P02	L00S43W00	kː	False
Phoneme	L00S43W00P03	L00S43W00	t	False
Sentence	L00S44	L00	Sentence44	False
Word	L00S44W00	L00S44	bunt	False
Phoneme	L00S44W00P00	L00S44W00	b	False
Phoneme	L00S44W00P01	L00S44W00	ɵ	False
Phoneme	L00S44W00P02	L00S44W00	nː	False
Phoneme	L00S44W00P03	L00S44W00	t	False
Sentence	L00S45	L00	Sentence45	False
Word	L00S45W00	L00S45	burk	False
Phoneme	L00S45W00P00	L00S45W00	b	False
Phoneme	L00S45W00P01	L00S45W00	ɵ	False
Phoneme	L00S45W00P02	L00S45W00	rː	False
Phoneme	L00S45W00P03	L00S45W00	k	False
Sentence	L00S46	L00	Sentence46	False
Word	L00S46W00	L00S46	bus	False
Phoneme	L00S46W00P00	L00S46W00	b	False
Phoneme	L00S46W00P01	L00S46W00	ʉː	False
Phoneme	L00S46W00P02	L00S46W00	s	False
Sentence	L00S47	L00	Sentence47	False
Word	L00S47W00	L00S47	buss	False
Phoneme	L00S47W00P00	L00S47W00	b	False
Phoneme	L00S47W00P01	L00S47W00	ɵ	False
Phoneme	L00S47W00P02	L00S47W00	sː	False
Sentence	L00S48	L00	Sentence48	False
Word	L00S48W00	L00S48	bås	False
Phoneme	L00S48W00P00	L00S48W00	b	False
Phoneme	L00S48W00P01	L00S48W00	oː	False
Phoneme	L00S48W00P02	L00S48W00	s	False
Sentence	L00S49	L00	Sentence49	False
Word	L00S49W00	L00S49	bänk	False
Phoneme	L00S49W00P00	L00S49W00	b	False
Phoneme	L00S49W00P01	L00S49W00	ɛ̝	False
Phoneme	L00S49W00P02	L00S49W00	ŋː	False
Phoneme	L00S49W00P03	L00S49W00	k	False
Sentence	L00S50	L00	Sentence50	False
Word	L00S50W00	L00S50	böjd	False
Phoneme	L00S50W00P00	L00S50W00	b	False
Phoneme	L00S50W00P01	L00S50W00	ø̞	False
Phoneme	L00S50W00P02	L00S50W00	ʝː	False
Phoneme	L00S50W00P03	L00S50W00	d	False
Sentence	L00S51	L00	Sentence51	False
Word	L00S51W00	L00S51	böld	False
Phoneme	L00S51W00P00	L00S51W00	b	False
Phoneme	L00S51W00P01	L00S51W00	ø̞	False
Phoneme	L00S51W00P02	L00S51W00	lː	False
Phoneme	L00S51W00P03	L00S51W00	d	False
Sentence	L00S52	L00	Sentence52	False
Word	L00S52W00	L00S52	chark	False
Phoneme	L00S52W00P00	L00S52W00	ɧ	False
Phoneme	L00S52W00P01	L00S52W00	a	False
Phoneme	L00S52W00P02	L00S52W00	rː	False
Phoneme	L00S52W00P03	L00S52W00	k	False
Sentence	L00S53	L00	Sentence53	False
Word	L00S53W00	L00S53	charm	False
Phoneme	L00S53W00P00	L00S53W00	ɧ	False
Phoneme	L00S53W00P01	L00S53W00	a	False
Phoneme	L00S53W00P02	L00S53W00	rː	False
Phoneme	L00S53W00P03	L00S53W00	m	False
Sentence	L00S54	L00	Sentence54	False
Word	L00S54W00	L00S54	chatt	False
Phoneme	L00S54W00P00	L00S54W00	ɕ	False
Phoneme	L00S54W00P01	L00S54W00	a	False
Phoneme	L00S54W00P02	L00S54W00	tː	False
Sentence	L00S55	L00	Sentence55	False
Word	L00S55W00	L00S55	chef	False
Phoneme	L00S55W00P00	L00S55W00	ɧ	False
Phoneme	L00S55W00P01	L00S55W00	eː	False
Phoneme	L00S55W00P02	L00S55W00	f	False
Sentence	L00S56	L00	Sentence56	False
Word	L00S56W00	L00S56	chips	False
Phoneme	L00S56W00P00	L00S56W00	ɕ	False
Phoneme	L00S56W00P01	L00S56W00	ɪ	False
Phoneme	L00S56W00P02	L00S56W00	pː	False
Phoneme	L00S56W00P03	L00S56W00	s	False
Sentence	L00S57	L00	Sentence57	False
Word	L00S57W00	L00S57	chock	False
Phoneme	L00S57W00P00	L00S57W00	ɧ	False
Phoneme	L00S57W00P01	L00S57W00	ɔ	False
Phoneme	L00S57W00P02	L00S57W00	kː	False
Sentence	L00S58	L00	Sentence58	False
Word	L00S58W00	L00S58	clown	False
Phoneme	L00S58W00P00	L00S58W00	k	False
Phoneme	L00S58W00P01	L00S58W00	l	False
Phoneme	L00S58W00P02	L00S58W00	a͡uː	False
Phoneme	L00S58W00P03	L00S58W00	n	False
Sentence	L00S59	L00	Sentence59	False
Word	L00S59W00	L00S59	darr	False
Phoneme	L00S59W00P00	L00S59W00	d	False
Phoneme	L00S59W00P01	L00S59W00	a	False
Phoneme	L00S59W00P02	L00S59W00	rː	False
Sentence	L00S60	L00	Sentence60	False
Word	L00S60W00	L00S60	deg	False
Phoneme	L00S60W00P00	L00S60W00	d	False
Phoneme	L00S60W00P01	L00S60W00	eː	False
Phoneme	L00S60W00P02	L00S60W00	ɡ	False
Sentence	L00S61	L00	Sentence61	False
Word	L00S61W00	L00S61	dejt	False
Phoneme	L00S61W00P00	L00S61W00	d	False
Phoneme	L00S61W00P01	L00S61W00	ɛ̝	False
Phoneme	L00S61W00P02	L00S61W00	ʝː	False
Phoneme	L00S61W00P03	L00S61W00	t	False
Sentence	L00S62	L00	Sentence62	False
Word	L00S62W00	L00S62	dikt	False
Phoneme	L00S62W00P00	L00S62W00	d	False
Phoneme	L00S62W00P01	L00S62W00	ɪ	False
Phoneme	L00S62W00P02	L00S62W00	kː	False
Phoneme	L00S62W00P03	L00S62W00	t	False
Sentence	L00S63	L00	Sentence63	False
Word	L00S63W00	L00S63	dill	False
Phoneme	L00S63W00P00	L00S63W00	d	False
Phoneme	L00S63W00P01	L00S63W00	ɪ	False
Phoneme	L00S63W00P02	L00S63W00	lː	False
Sentence	L00S64	L00	Sentence64	False
Word	L00S64W00	L00S64	djup	False
Phoneme	L00S64W00P00	L00S64W00	ʝ	False
Phoneme	L00S64W00P01	L00S64W00	ʉː	False
Phoneme	L00S64W00P02	L00S64W00	p	False
Sentence	L00S65	L00	Sentence65	False
Word	L00S65W00	L00S65	doft	False
Phoneme	L00S65W00P00	L00S65W00	d	False
Phoneme	L00S65W00P01	L00S65W00	ɔ	False
Phoneme	L00S65W00P02	L00S65W00	fː	False
Phoneme	L00S65W00P03	L00S65W00	t	False
Sentence	L00S66	L00	Sentence66	False
Word	L00S66W00	L00S66	dold	False
Phoneme	L00S66W00P00	L00S66W00	d	False
Phoneme	L00S66W00P01	L00S66W00	oː	False
Phoneme	L00S66W00P02	L00S66W00	l	False
Phoneme	L00S66W00P03	L00S66W00	d	False
Sentence	L00S67	L00	Sentence67	False
Word	L00S67W00	L00S67	dop	False
Phoneme	L00S67W00P00	L00S67W00	d	False
Phoneme	L00S67W00P01	L00S67W00	uː	False
Phoneme	L00S67W00P02	L00S67W00	p	False
Sentence	L00S68	L00	Sentence68	False
Word	L00S68W00	L00S68	dopp	False
Phoneme	L00S68W00P00	L00S68W00	d	False
Phoneme	L00S68W00P01	L00S68W00	ɔ	False
Phoneme	L00S68W00P02	L00S68W00	pː	False
Sentence	L00S69	L00	Sentence69	False
Word	L00S69W00	L00S69	dov	False
Phoneme	L00S69W00P00	L00S69W00	d	False
Phoneme	L00S69W00P01	L00S69W00	oː	False
Phoneme	L00S69W00P02	L00S69W00	v	False
Sentence	L00S70	L00	Sentence70	False
Word	L00S70W00	L00S70	drag	False
Phoneme	L00S70W00P00	L00S70W00	d	False
Phoneme	L00S70W00P01	L00S70W00	r	False
Phoneme	L00S70W00P02	L00S70W00	ɑː	False
Phoneme	L00S70W00P03	L00S70W00	ɡ	False
Sentence	L00S71	L00	Sentence71	False
Word	L00S71W00	L00S71	dras	False
Phoneme	L00S71W00P00	L00S71W00	d	False
Phoneme	L00S71W00P01	L00S71W00	r	False
Phoneme	L00S71W00P02	L00S71W00	ɑː	False
Phoneme	L00S71W00P03	L00S71W00	s	False
Sentence	L00S72	L00	Sentence72	False
Word	L00S72W00	L00S72	drev	False
Phoneme	L00S72W00P00	L00S72W00	d	False
Phoneme	L00S72W00P01	L00S72W00	r	False
Phoneme	L00S72W00P02	L00S72W00	eː	False
Phoneme	L00S72W00P03	L00S72W00	v	False
Sentence	L00S73	L00	Sentence73	False
Word	L00S73W00	L00S73	dricks	False
