// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SwedishPB23		SwedishPB23	False
Phoneme	L01S03W00P02	L01S03W00	nː	False
Phoneme	L01S03W00P03	L01S03W00	d	False
Phoneme	L01S03W00P04	L01S03W00	s	False
Sentence	L01S04	L01	Sentence04	False
Word	L01S04W00	L01S04	hat	False
Phoneme	L01S04W00P00	L01S04W00	h	False
Phoneme	L01S04W00P01	L01S04W00	ɑː	False
Phoneme	L01S04W00P02	L01S04W00	t	False
Sentence	L01S05	L01	Sentence05	False
Word	L01S05W00	L01S05	hemsk	False
Phoneme	L01S05W00P00	L01S05W00	h	False
Phoneme	L01S05W00P01	L01S05W00	ɛ̝	False
Phoneme	L01S05W00P02	L01S05W00	mː	False
Phoneme	L01S05W00P03	L01S05W00	s	False
Phoneme	L01S05W00P04	L01S05W00	k	False
Sentence	L01S06	L01	Sentence06	False
Word	L01S06W00	L01S06	hemskt	False
Phoneme	L01S06W00P00	L01S06W00	h	False
Phoneme	L01S06W00P01	L01S06W00	ɛ̝	False
Phoneme	L01S06W00P02	L01S06W00	mː	False
Phoneme	L01S06W00P03	L01S06W00	s	False
Phoneme	L01S06W00P04	L01S06W00	k	False
Phoneme	L01S06W00P05	L01S06W00	t	False
Sentence	L01S07	L01	Sentence07	False
Word	L01S07W00	L01S07	hes	False
Phoneme	L01S07W00P00	L01S07W00	h	False
Phoneme	L01S07W00P01	L01S07W00	eː	False
Phoneme	L01S07W00P02	L01S07W00	s	False
Sentence	L01S08	L01	Sentence08	False
Word	L01S08W00	L01S08	het	False
Phoneme	L01S08W00P00	L01S08W00	h	False
Phoneme	L01S08W00P01	L01S08W00	eː	False
Phoneme	L01S08W00P02	L01S08W00	t	False
Sentence	L01S09	L01	Sentence09	False
Word	L01S09W00	L01S09	hingst	False
Phoneme	L01S09W00P00	L01S09W00	h	False
Phoneme	L01S09W00P01	L01S09W00	ɪ	False
Phoneme	L01S09W00P02	L01S09W00	ŋː	False
Phoneme	L01S09W00P03	L01S09W00	s	False
Phoneme	L01S09W00P04	L01S09W00	t	False
Sentence	L01S10	L01	Sentence10	False
Word	L01S10W00	L01S10	hink	False
Phoneme	L01S10W00P00	L01S10W00	h	False
Phoneme	L01S10W00P01	L01S10W00	ɪ	False
Phoneme	L01S10W00P02	L01S10W00	ŋː	False
Phoneme	L01S10W00P03	L01S10W00	k	False
Sentence	L01S11	L01	Sentence11	False
Word	L01S11W00	L01S11	hopp	False
Phoneme	L01S11W00P00	L01S11W00	h	False
Phoneme	L01S11W00P01	L01S11W00	ɔ	False
Phoneme	L01S11W00P02	L01S11W00	pː	False
Sentence	L01S12	L01	Sentence12	False
Word	L01S12W00	L01S12	hord	False
Phoneme	L01S12W00P00	L01S12W00	h	False
Phoneme	L01S12W00P01	L01S12W00	uː	False
Phoneme	L01S12W00P02	L01S12W00	ɖ	False
Sentence	L01S13	L01	Sentence13	False
Word	L01S13W00	L01S13	hud	False
Phoneme	L01S13W00P00	L01S13W00	h	False
Phoneme	L01S13W00P01	L01S13W00	ʉː	False
Phoneme	L01S13W00P02	L01S13W00	d	False
Sentence	L01S14	L01	Sentence14	False
Word	L01S14W00	L01S14	hugg	False
Phoneme	L01S14W00P00	L01S14W00	h	False
Phoneme	L01S14W00P01	L01S14W00	ɵ	False
Phoneme	L01S14W00P02	L01S14W00	ɡː	False
Sentence	L01S15	L01	Sentence15	False
Word	L01S15W00	L01S15	huv	False
Phoneme	L01S15W00P00	L01S15W00	h	False
Phoneme	L01S15W00P01	L01S15W00	ʉː	False
Phoneme	L01S15W00P02	L01S15W00	v	False
Sentence	L01S16	L01	Sentence16	False
Word	L01S16W00	L01S16	hy	False
Phoneme	L01S16W00P00	L01S16W00	h	False
Phoneme	L01S16W00P01	L01S16W00	yː	False
Sentence	L01S17	L01	Sentence17	False
Word	L01S17W00	L01S17	hyfs	False
Phoneme	L01S17W00P00	L01S17W00	h	False
Phoneme	L01S17W00P01	L01S17W00	ʏ	False
Phoneme	L01S17W00P02	L01S17W00	fː	False
Phoneme	L01S17W00P03	L01S17W00	s	False
Sentence	L01S18	L01	Sentence18	False
Word	L01S18W00	L01S18	hyss	False
Phoneme	L01S18W00P00	L01S18W00	h	False
Phoneme	L01S18W00P01	L01S18W00	ʏ	False
Phoneme	L01S18W00P02	L01S18W00	sː	False
Sentence	L01S19	L01	Sentence19	False
Word	L01S19W00	L01S19	hytt	False
Phoneme	L01S19W00P00	L01S19W00	h	False
Phoneme	L01S19W00P01	L01S19W00	ʏ	False
Phoneme	L01S19W00P02	L01S19W00	tː	False
Sentence	L01S20	L01	Sentence20	False
Word	L01S20W00	L01S20	hål	False
Phoneme	L01S20W00P00	L01S20W00	h	False
Phoneme	L01S20W00P01	L01S20W00	oː	False
Phoneme	L01S20W00P02	L01S20W00	l	False
Sentence	L01S21	L01	Sentence21	False
Word	L01S21W00	L01S21	häck	False
Phoneme	L01S21W00P00	L01S21W00	h	False
Phoneme	L01S21W00P01	L01S21W00	ɛ̝	False
Phoneme	L01S21W00P02	L01S21W00	kː	False
Sentence	L01S22	L01	Sentence22	False
Word	L01S22W00	L01S22	häl	False
Phoneme	L01S22W00P00	L01S22W00	h	False
Phoneme	L01S22W00P01	L01S22W00	ɛː	False
Phoneme	L01S22W00P02	L01S22W00	l	False
Sentence	L01S23	L01	Sentence23	False
Word	L01S23W00	L01S23	hätsk	False
Phoneme	L01S23W00P00	L01S23W00	h	False
Phoneme	L01S23W00P01	L01S23W00	ɛ̝	False
Phoneme	L01S23W00P02	L01S23W00	tː	False
Phoneme	L01S23W00P03	L01S23W00	s	False
Phoneme	L01S23W00P04	L01S23W00	k	False
Sentence	L01S24	L01	Sentence24	False
Word	L01S24W00	L01S24	hö	False
Phoneme	L01S24W00P00	L01S24W00	h	False
Phoneme	L01S24W00P01	L01S24W00	øː	False
Sentence	L01S25	L01	Sentence25	False
Word	L01S25W00	L01S25	höft	False
Phoneme	L01S25W00P00	L01S25W00	h	False
Phoneme	L01S25W00P01	L01S25W00	ø̞	False
Phoneme	L01S25W00P02	L01S25W00	fː	False
Phoneme	L01S25W00P03	L01S25W00	t	False
Sentence	L01S26	L01	Sentence26	False
Word	L01S26W00	L01S26	högst	False
Phoneme	L01S26W00P00	L01S26W00	h	False
Phoneme	L01S26W00P01	L01S26W00	ø̞	False
Phoneme	L01S26W00P02	L01S26W00	kː	False
Phoneme	L01S26W00P03	L01S26W00	s	False
Phoneme	L01S26W00P04	L01S26W00	t	False
Sentence	L01S27	L01	Sentence27	False
Word	L01S27W00	L01S27	höjd	False
Phoneme	L01S27W00P00	L01S27W00	h	False
Phoneme	L01S27W00P01	L01S27W00	ø̞	False
Phoneme	L01S27W00P02	L01S27W00	ʝː	False
Phoneme	L01S27W00P03	L01S27W00	d	False
Sentence	L01S28	L01	Sentence28	False
Word	L01S28W00	L01S28	höns	False
Phoneme	L01S28W00P00	L01S28W00	h	False
Phoneme	L01S28W00P01	L01S28W00	ø̞	False
Phoneme	L01S28W00P02	L01S28W00	nː	False
Phoneme	L01S28W00P03	L01S28W00	s	False
Sentence	L01S29	L01	Sentence29	False
Word	L01S29W00	L01S29	hörn	False
Phoneme	L01S29W00P00	L01S29W00	h	False
Phoneme	L01S29W00P01	L01S29W00	øː	False
Phoneme	L01S29W00P02	L01S29W00	ɳ	False
Sentence	L01S30	L01	Sentence30	False
Word	L01S30W00	L01S30	höst	False
Phoneme	L01S30W00P00	L01S30W00	h	False
Phoneme	L01S30W00P01	L01S30W00	ø̞	False
Phoneme	L01S30W00P02	L01S30W00	sː	False
Phoneme	L01S30W00P03	L01S30W00	t	False
Sentence	L01S31	L01	Sentence31	False
Word	L01S31W00	L01S31	jakt	False
Phoneme	L01S31W00P00	L01S31W00	ʝ	False
Phoneme	L01S31W00P01	L01S31W00	a	False
Phoneme	L01S31W00P02	L01S31W00	kː	False
Phoneme	L01S31W00P03	L01S31W00	t	False
Sentence	L01S32	L01	Sentence32	False
Word	L01S32W00	L01S32	jour	False
Phoneme	L01S32W00P00	L01S32W00	ɧ	False
Phoneme	L01S32W00P01	L01S32W00	uː	False
Phoneme	L01S32W00P02	L01S32W00	r	False
Sentence	L01S33	L01	Sentence33	False
Word	L01S33W00	L01S33	jäkt	False
Phoneme	L01S33W00P00	L01S33W00	ʝ	False
Phoneme	L01S33W00P01	L01S33W00	ɛ̝	False
Phoneme	L01S33W00P02	L01S33W00	kː	False
Phoneme	L01S33W00P03	L01S33W00	t	False
Sentence	L01S34	L01	Sentence34	False
Word	L01S34W00	L01S34	kalk	False
Phoneme	L01S34W00P00	L01S34W00	k	False
Phoneme	L01S34W00P01	L01S34W00	a	False
Phoneme	L01S34W00P02	L01S34W00	lː	False
Phoneme	L01S34W00P03	L01S34W00	k	False
Sentence	L01S35	L01	Sentence35	False
Word	L01S35W00	L01S35	kalv	False
Phoneme	L01S35W00P00	L01S35W00	k	False
Phoneme	L01S35W00P01	L01S35W00	a	False
Phoneme	L01S35W00P02	L01S35W00	lː	False
Phoneme	L01S35W00P03	L01S35W00	v	False
Sentence	L01S36	L01	Sentence36	False
Word	L01S36W00	L01S36	karm	False
Phoneme	L01S36W00P00	L01S36W00	k	False
Phoneme	L01S36W00P01	L01S36W00	a	False
Phoneme	L01S36W00P02	L01S36W00	rː	False
Phoneme	L01S36W00P03	L01S36W00	m	False
Sentence	L01S37	L01	Sentence37	False
Word	L01S37W00	L01S37	keps	False
Phoneme	L01S37W00P00	L01S37W00	k	False
Phoneme	L01S37W00P01	L01S37W00	ɛ̝	False
Phoneme	L01S37W00P02	L01S37W00	pː	False
Phoneme	L01S37W00P03	L01S37W00	s	False
Sentence	L01S38	L01	Sentence38	False
Word	L01S38W00	L01S38	kiosk	False
Phoneme	L01S38W00P00	L01S38W00	ɕ	False
Phoneme	L01S38W00P01	L01S38W00	ɔ	False
Phoneme	L01S38W00P02	L01S38W00	sː	False
Phoneme	L01S38W00P03	L01S38W00	k	False
Sentence	L01S39	L01	Sentence39	False
Word	L01S39W00	L01S39	klack	False
Phoneme	L01S39W00P00	L01S39W00	k	False
Phoneme	L01S39W00P01	L01S39W00	l	False
Phoneme	L01S39W00P02	L01S39W00	a	False
Phoneme	L01S39W00P03	L01S39W00	kː	False
Sentence	L01S40	L01	Sentence40	False
Word	L01S40W00	L01S40	kladd	False
Phoneme	L01S40W00P00	L01S40W00	k	False
Phoneme	L01S40W00P01	L01S40W00	l	False
Phoneme	L01S40W00P02	L01S40W00	a	False
Phoneme	L01S40W00P03	L01S40W00	dː	False
Sentence	L01S41	L01	Sentence41	False
Word	L01S41W00	L01S41	klapp	False
Phoneme	L01S41W00P00	L01S41W00	k	False
Phoneme	L01S41W00P01	L01S41W00	l	False
Phoneme	L01S41W00P02	L01S41W00	a	False
Phoneme	L01S41W00P03	L01S41W00	pː	False
Sentence	L01S42	L01	Sentence42	False
Word	L01S42W00	L01S42	klass	False
Phoneme	L01S42W00P00	L01S42W00	k	False
Phoneme	L01S42W00P01	L01S42W00	l	False
Phoneme	L01S42W00P02	L01S42W00	a	False
Phoneme	L01S42W00P03	L01S42W00	sː	False
Sentence	L01S43	L01	Sentence43	False
Word	L01S43W00	L01S43	klet	False
Phoneme	L01S43W00P00	L01S43W00	k	False
Phoneme	L01S43W00P01	L01S43W00	l	False
Phoneme	L01S43W00P02	L01S43W00	eː	False
Phoneme	L01S43W00P03	L01S43W00	t	False
Sentence	L01S44	L01	Sentence44	False
Word	L01S44W00	L01S44	kli	False
Phoneme	L01S44W00P00	L01S44W00	k	False
Phoneme	L01S44W00P01	L01S44W00	l	False
Phoneme	L01S44W00P02	L01S44W00	iː	False
Sentence	L01S45	L01	Sentence45	False
Word	L01S45W00	L01S45	klick	False
Phoneme	L01S45W00P00	L01S45W00	k	False
Phoneme	L01S45W00P01	L01S45W00	l	False
Phoneme	L01S45W00P02	L01S45W00	ɪ	False
Phoneme	L01S45W00P03	L01S45W00	kː	False
Sentence	L01S46	L01	Sentence46	False
Word	L01S46W00	L01S46	klimp	False
Phoneme	L01S46W00P00	L01S46W00	k	False
Phoneme	L01S46W00P01	L01S46W00	l	False
Phoneme	L01S46W00P02	L01S46W00	ɪ	False
Phoneme	L01S46W00P03	L01S46W00	mː	False
Phoneme	L01S46W00P04	L01S46W00	p	False
Sentence	L01S47	L01	Sentence47	False
Word	L01S47W00	L01S47	klipsk	False
Phoneme	L01S47W00P00	L01S47W00	k	False
Phoneme	L01S47W00P01	L01S47W00	l	False
Phoneme	L01S47W00P02	L01S47W00	ɪ	False
Phoneme	L01S47W00P03	L01S47W00	pː	False
Phoneme	L01S47W00P04	L01S47W00	s	False
Phoneme	L01S47W00P05	L01S47W00	k	False
Sentence	L01S48	L01	Sentence48	False
Word	L01S48W00	L01S48	klirr	False
Phoneme	L01S48W00P00	L01S48W00	k	False
Phoneme	L01S48W00P01	L01S48W00	l	False
Phoneme	L01S48W00P02	L01S48W00	ɪ	False
Phoneme	L01S48W00P03	L01S48W00	rː	False
Sentence	L01S49	L01	Sentence49	False
Word	L01S49W00	L01S49	kliv	False
Phoneme	L01S49W00P00	L01S49W00	k	False
Phoneme	L01S49W00P01	L01S49W00	l	False
Phoneme	L01S49W00P02	L01S49W00	iː	False
Phoneme	L01S49W00P03	L01S49W00	v	False
Sentence	L01S50	L01	Sentence50	False
Word	L01S50W00	L01S50	klok	False
Phoneme	L01S50W00P00	L01S50W00	k	False
Phoneme	L01S50W00P01	L01S50W00	l	False
Phoneme	L01S50W00P02	L01S50W00	uː	False
Phoneme	L01S50W00P03	L01S50W00	k	False
Sentence	L01S51	L01	Sentence51	False
Word	L01S51W00	L01S51	klot	False
Phoneme	L01S51W00P00	L01S51W00	k	False
Phoneme	L01S51W00P01	L01S51W00	l	False
Phoneme	L01S51W00P02	L01S51W00	uː	False
Phoneme	L01S51W00P03	L01S51W00	t	False
Sentence	L01S52	L01	Sentence52	False
Word	L01S52W00	L01S52	klump	False
Phoneme	L01S52W00P00	L01S52W00	k	False
Phoneme	L01S52W00P01	L01S52W00	l	False
Phoneme	L01S52W00P02	L01S52W00	ɵ	False
Phoneme	L01S52W00P03	L01S52W00	mː	False
Phoneme	L01S52W00P04	L01S52W00	p	False
Sentence	L01S53	L01	Sentence53	False
Word	L01S53W00	L01S53	klunk	False
Phoneme	L01S53W00P00	L01S53W00	k	False
Phoneme	L01S53W00P01	L01S53W00	l	False
Phoneme	L01S53W00P02	L01S53W00	ɵ	False
Phoneme	L01S53W00P03	L01S53W00	ŋː	False
Phoneme	L01S53W00P04	L01S53W00	k	False
Sentence	L01S54	L01	Sentence54	False
Word	L01S54W00	L01S54	klå	False
Phoneme	L01S54W00P00	L01S54W00	k	False
Phoneme	L01S54W00P01	L01S54W00	l	False
Phoneme	L01S54W00P02	L01S54W00	oː	False
Sentence	L01S55	L01	Sentence55	False
Word	L01S55W00	L01S55	klä	False
Phoneme	L01S55W00P00	L01S55W00	k	False
Phoneme	L01S55W00P01	L01S55W00	l	False
Phoneme	L01S55W00P02	L01S55W00	ɛː	False
Sentence	L01S56	L01	Sentence56	False
Word	L01S56W00	L01S56	klädd	False
Phoneme	L01S56W00P00	L01S56W00	k	False
Phoneme	L01S56W00P01	L01S56W00	l	False
Phoneme	L01S56W00P02	L01S56W00	ɛ̝	False
Phoneme	L01S56W00P03	L01S56W00	dː	False
Sentence	L01S57	L01	Sentence57	False
Word	L01S57W00	L01S57	kläm	False
Phoneme	L01S57W00P00	L01S57W00	k	False
Phoneme	L01S57W00P01	L01S57W00	l	False
Phoneme	L01S57W00P02	L01S57W00	ɛ̝	False
Phoneme	L01S57W00P03	L01S57W00	mː	False
Sentence	L01S58	L01	Sentence58	False
Word	L01S58W00	L01S58	klätt	False
Phoneme	L01S58W00P00	L01S58W00	k	False
Phoneme	L01S58W00P01	L01S58W00	l	False
Phoneme	L01S58W00P02	L01S58W00	ɛ̝	False
Phoneme	L01S58W00P03	L01S58W00	tː	False
Sentence	L01S59	L01	Sentence59	False
Word	L01S59W00	L01S59	klös	False
Phoneme	L01S59W00P00	L01S59W00	k	False
Phoneme	L01S59W00P01	L01S59W00	l	False
Phoneme	L01S59W00P02	L01S59W00	øː	False
Phoneme	L01S59W00P03	L01S59W00	s	False
Sentence	L01S60	L01	Sentence60	False
Word	L01S60W00	L01S60	knapp	False
Phoneme	L01S60W00P00	L01S60W00	k	False
Phoneme	L01S60W00P01	L01S60W00	n	False
Phoneme	L01S60W00P02	L01S60W00	a	False
Phoneme	L01S60W00P03	L01S60W00	pː	False
Sentence	L01S61	L01	Sentence61	False
Word	L01S61W00	L01S61	knep	False
Phoneme	L01S61W00P00	L01S61W00	k	False
Phoneme	L01S61W00P01	L01S61W00	n	False
Phoneme	L01S61W00P02	L01S61W00	eː	False
Phoneme	L01S61W00P03	L01S61W00	p	False
Sentence	L01S62	L01	Sentence62	False
Word	L01S62W00	L01S62	kniv	False
Phoneme	L01S62W00P00	L01S62W00	k	False
Phoneme	L01S62W00P01	L01S62W00	n	False
Phoneme	L01S62W00P02	L01S62W00	iː	False
Phoneme	L01S62W00P03	L01S62W00	v	False
Sentence	L01S63	L01	Sentence63	False
Word	L01S63W00	L01S63	knop	False
Phoneme	L01S63W00P00	L01S63W00	k	False
Phoneme	L01S63W00P01	L01S63W00	n	False
Phoneme	L01S63W00P02	L01S63W00	uː	False
Phoneme	L01S63W00P03	L01S63W00	p	False
Sentence	L01S64	L01	Sentence64	False
Word	L01S64W00	L01S64	knopp	False
Phoneme	L01S64W00P00	L01S64W00	k	False
Phoneme	L01S64W00P01	L01S64W00	n	False
Phoneme	L01S64W00P02	L01S64W00	ɔ	False
Phoneme	L01S64W00P03	L01S64W00	pː	False
Sentence	L01S65	L01	Sentence65	False
Word	L01S65W00	L01S65	knott	False
Phoneme	L01S65W00P00	L01S65W00	k	False
Phoneme	L01S65W00P01	L01S65W00	n	False
Phoneme	L01S65W00P02	L01S65W00	ɔ	False
Phoneme	L01S65W00P03	L01S65W00	tː	False
Sentence	L01S66	L01	Sentence66	False
Word	L01S66W00	L01S66	knyck	False
Phoneme	L01S66W00P00	L01S66W00	k	False
Phoneme	L01S66W00P01	L01S66W00	n	False
Phoneme	L01S66W00P02	L01S66W00	ʏ	False
Phoneme	L01S66W00P03	L01S66W00	kː	False
Sentence	L01S67	L01	Sentence67	False
Word	L01S67W00	L01S67	knyst	False
Phoneme	L01S67W00P00	L01S67W00	k	False
Phoneme	L01S67W00P01	L01S67W00	n	False
Phoneme	L01S67W00P02	L01S67W00	ʏ	False
Phoneme	L01S67W00P03	L01S67W00	sː	False
Phoneme	L01S67W00P04	L01S67W00	t	False
Sentence	L01S68	L01	Sentence68	False
Word	L01S68W00	L01S68	knåp	False
Phoneme	L01S68W00P00	L01S68W00	k	False
Phoneme	L01S68W00P01	L01S68W00	n	False
Phoneme	L01S68W00P02	L01S68W00	oː	False
Phoneme	L01S68W00P03	L01S68W00	p	False
Sentence	L01S69	L01	Sentence69	False
Word	L01S69W00	L01S69	knä	False
Phoneme	L01S69W00P00	L01S69W00	k	False
Phoneme	L01S69W00P01	L01S69W00	n	False
Phoneme	L01S69W00P02	L01S69W00	ɛː	False
Sentence	L01S70	L01	Sentence70	False
Word	L01S70W00	L01S70	knäpp	False
Phoneme	L01S70W00P00	L01S70W00	k	False
Phoneme	L01S70W00P01	L01S70W00	n	False
Phoneme	L01S70W00P02	L01S70W00	ɛ̝	False
Phoneme	L01S70W00P03	L01S70W00	pː	False
Sentence	L01S71	L01	Sentence71	False
Word	L01S71W00	L01S71	knöl	False
Phoneme	L01S71W00P00	L01S71W00	k	False
Phoneme	L01S71W00P01	L01S71W00	n	False
Phoneme	L01S71W00P02	L01S71W00	øː	False
Phoneme	L01S71W00P03	L01S71W00	l	False
Sentence	L01S72	L01	Sentence72	False
Word	L01S72W00	L01S72	kokt	False
Phoneme	L01S72W00P00	L01S72W00	k	False
Phoneme	L01S72W00P01	L01S72W00	ʊ	False
Phoneme	L01S72W00P02	L01S72W00	kː	False
Phoneme	L01S72W00P03	L01S72W00	t	False
Sentence	L01S73	L01	Sentence73	False
Word	L01S73W00	L01S73	koll	False
Phoneme	L01S73W00P00	L01S73W00	k	False
Phoneme	L01S73W00P01	L01S73W00	ɔ	False
Phoneme	L01S73W00P02	L01S73W00	lː	False
Sentence	L01S74	L01	Sentence74	False
Word	L01S74W00	L01S74	kolv	False
Phoneme	L01S74W00P00	L01S74W00	k	False
Phoneme	L01S74W00P01	L01S74W00	ɔ	False
Phoneme	L01S74W00P02	L01S74W00	lː	False
Phoneme	L01S74W00P03	L01S74W00	v	False
Sentence	L01S75	L01	Sentence75	False
Word	L01S75W00	L01S75	konst	False
Phoneme	L01S75W00P00	L01S75W00	k	False
Phoneme	L01S75W00P01	L01S75W00	ɔ	False
Phoneme	L01S75W00P02	L01S75W00	nː	False
Phoneme	L01S75W00P03	L01S75W00	s	False
Phoneme	L01S75W00P04	L01S75W00	t	False
Sentence	L01S76	L01	Sentence76	False
Word	L01S76W00	L01S76	kopp	False
Phoneme	L01S76W00P00	L01S76W00	k	False
Phoneme	L01S76W00P01	L01S76W00	ɔ	False
Phoneme	L01S76W00P02	L01S76W00	pː	False
Sentence	L01S77	L01	Sentence77	False
Word	L01S77W00	L01S77	korg	False
Phoneme	L01S77W00P00	L01S77W00	k	False
Phoneme	L01S77W00P01	L01S77W00	ɔ	False
Phoneme	L01S77W00P02	L01S77W00	rː	False
Phoneme	L01S77W00P03	L01S77W00	ʝ	False
Sentence	L01S78	L01	Sentence78	False
Word	L01S78W00	L01S78	kork	False
Phoneme	L01S78W00P00	L01S78W00	k	False
Phoneme	L01S78W00P01	L01S78W00	ɔ	False
Phoneme	L01S78W00P02	L01S78W00	rː	False
Phoneme	L01S78W00P03	L01S78W00	k	False
Sentence	L01S79	L01	Sentence79	False
Word	L01S79W00	L01S79	korn	False
Phoneme	L01S79W00P00	L01S79W00	k	False
Phoneme	L01S79W00P01	L01S79W00	uː	False
Phoneme	L01S79W00P02	L01S79W00	ɳ	False
Sentence	L01S80	L01	Sentence80	False
Word	L01S80W00	L01S80	korv	False
Phoneme	L01S80W00P00	L01S80W00	k	False
Phoneme	L01S80W00P01	L01S80W00	ɔ	False
Phoneme	L01S80W00P02	L01S80W00	rː	False
Phoneme	L01S80W00P03	L01S80W00	v	False
Sentence	L01S81	L01	Sentence81	False
Word	L01S81W00	L01S81	kost	False
Phoneme	L01S81W00P00	L01S81W00	k	False
Phoneme	L01S81W00P01	L01S81W00	ɔ	False
Phoneme	L01S81W00P02	L01S81W00	sː	False
Phoneme	L01S81W00P03	L01S81W00	t	False
Sentence	L01S82	L01	Sentence82	False
Word	L01S82W00	L01S82	krafs	False
Phoneme	L01S82W00P00	L01S82W00	k	False
Phoneme	L01S82W00P01	L01S82W00	r	False
Phoneme	L01S82W00P02	L01S82W00	a	False
Phoneme	L01S82W00P03	L01S82W00	fː	False
Phoneme	L01S82W00P04	L01S82W00	s	False
Sentence	L01S83	L01	Sentence83	False
Word	L01S83W00	L01S83	kramp	False
Phoneme	L01S83W00P00	L01S83W00	k	False
Phoneme	L01S83W00P01	L01S83W00	r	False
Phoneme	L01S83W00P02	L01S83W00	a	False
Phoneme	L01S83W00P03	L01S83W00	mː	False
Phoneme	L01S83W00P04	L01S83W00	p	False
Sentence	L01S84	L01	Sentence84	False
Word	L01S84W00	L01S84	kran	False
Phoneme	L01S84W00P00	L01S84W00	k	False
Phoneme	L01S84W00P01	L01S84W00	r	False
Phoneme	L01S84W00P02	L01S84W00	ɑː	False
Phoneme	L01S84W00P03	L01S84W00	n	False
Sentence	L01S85	L01	Sentence85	False
Word	L01S85W00	L01S85	kras	False
Phoneme	L01S85W00P00	L01S85W00	k	False
Phoneme	L01S85W00P01	L01S85W00	r	False
Phoneme	L01S85W00P02	L01S85W00	ɑː	False
Phoneme	L01S85W00P03	L01S85W00	s	False
Sentence	L01S86	L01	Sentence86	False
Word	L01S86W00	L01S86	krasch	False
Phoneme	L01S86W00P00	L01S86W00	k	False
Phoneme	L01S86W00P01	L01S86W00	r	False
Phoneme	L01S86W00P02	L01S86W00	a	False
Phoneme	L01S86W00P03	L01S86W00	ʂː	False
Sentence	L01S87	L01	Sentence87	False
Word	L01S87W00	L01S87	krass	False
Phoneme	L01S87W00P00	L01S87W00	k	False
Phoneme	L01S87W00P01	L01S87W00	r	False
Phoneme	L01S87W00P02	L01S87W00	a	False
Phoneme	L01S87W00P03	L01S87W00	sː	False
Sentence	L01S88	L01	Sentence88	False
Word	L01S88W00	L01S88	krav	False
Phoneme	L01S88W00P00	L01S88W00	k	False
Phoneme	L01S88W00P01	L01S88W00	r	False
Phoneme	L01S88W00P02	L01S88W00	ɑː	False
Phoneme	L01S88W00P03	L01S88W00	v	False
Sentence	L01S89	L01	Sentence89	False
Word	L01S89W00	L01S89	krock	False
Phoneme	L01S89W00P00	L01S89W00	k	False
Phoneme	L01S89W00P01	L01S89W00	r	False
Phoneme	L01S89W00P02	L01S89W00	ɔ	False
Phoneme	L01S89W00P03	L01S89W00	kː	False
Sentence	L01S90	L01	Sentence90	False
Word	L01S90W00	L01S90	kry	False
Phoneme	L01S90W00P00	L01S90W00	k	False
Phoneme	L01S90W00P01	L01S90W00	r	False
Phoneme	L01S90W00P02	L01S90W00	yː	False
Sentence	L01S91	L01	Sentence91	False
Word	L01S91W00	L01S91	kryss	False
Phoneme	L01S91W00P00	L01S91W00	k	False
Phoneme	L01S91W00P01	L01S91W00	r	False
Phoneme	L01S91W00P02	L01S91W00	ʏ	False
Phoneme	L01S91W00P03	L01S91W00	sː	False
Sentence	L01S92	L01	Sentence92	False
Word	L01S92W00	L01S92	kräk	False
Phoneme	L01S92W00P00	L01S92W00	k	False
Phoneme	L01S92W00P01	L01S92W00	r	False
Phoneme	L01S92W00P02	L01S92W00	ɛː	False
Phoneme	L01S92W00P03	L01S92W00	k	False
Sentence	L01S93	L01	Sentence93	False
Word	L01S93W00	L01S93	krök	False
Phoneme	L01S93W00P00	L01S93W00	k	False
Phoneme	L01S93W00P01	L01S93W00	r	False
Phoneme	L01S93W00P02	L01S93W00	øː	False
Phoneme	L01S93W00P03	L01S93W00	k	False
Sentence	L01S94	L01	Sentence94	False
Word	L01S94W00	L01S94	krökt	False
Phoneme	L01S94W00P00	L01S94W00	k	False
Phoneme	L01S94W00P01	L01S94W00	r	False
Phoneme	L01S94W00P02	L01S94W00	øː	False
Phoneme	L01S94W00P03	L01S94W00	k	False
Phoneme	L01S94W00P04	L01S94W00	t	False
Sentence	L01S95	L01	Sentence95	False
Word	L01S95W00	L01S95	kubb	False
Phoneme	L01S95W00P00	L01S95W00	k	False
Phoneme	L01S95W00P01	L01S95W00	ɵ	False
Phoneme	L01S95W00P02	L01S95W00	bː	False
Sentence	L01S96	L01	Sentence96	False
Word	L01S96W00	L01S96	kull	False
Phoneme	L01S96W00P00	L01S96W00	k	False
Phoneme	L01S96W00P01	L01S96W00	ɵ	False
Phoneme	L01S96W00P02	L01S96W00	lː	False
Sentence	L01S97	L01	Sentence97	False
Word	L01S97W00	L01S97	kult	False
Phoneme	L01S97W00P00	L01S97W00	k	False
Phoneme	L01S97W00P01	L01S97W00	ɵ	False
Phoneme	L01S97W00P02	L01S97W00	lː	False
Phoneme	L01S97W00P03	L01S97W00	t	False
Sentence	L01S98	L01	Sentence98	False
Word	L01S98W00	L01S98	kund	False
Phoneme	L01S98W00P00	L01S98W00	k	False
Phoneme	L01S98W00P01	L01S98W00	ɵ	False
